epoch,train_loss,val_loss,val_mIOU,val_iou_Animal,val_iou_Archway,val_iou_Bicyclist,val_iou_Bridge,val_iou_Building,val_iou_Car,val_iou_CartLuggagePram,val_iou_Child,val_iou_Column_Pole,val_iou_Fence,val_iou_LaneMkgsDriv,val_iou_LaneMkgsNonDriv,val_iou_Misc_Text,val_iou_MotorcycleScooter,val_iou_OtherMoving,val_iou_ParkingBlock,val_iou_Pedestrian,val_iou_Road,val_iou_RoadShoulder,val_iou_Sidewalk,val_iou_SignSymbol,val_iou_Sky,val_iou_SUVPickupTruck,val_iou_TrafficCone,val_iou_TrafficLight,val_iou_Train,val_iou_Tree,val_iou_Truck_Bus,val_iou_Tunnel,val_iou_VegetationMisc,val_iou_Void,val_iou_Wall
1,2.365160502,0.95917629,0.213342835,0,0.106576172,0.333109207,0,0.704538912,0.005593883,0,0.368953161,0,0,0.008463098,0,0.014773988,0,0.253989861,0,0.104593594,0.855907444,0,0.699860994,0.308786833,0.900002705,0,0,0.549965406,0,0.886201412,0.33849504,0,0.046988416,0,0.34017058
2,1.006805259,0.51797846,0.344582093,0,0.176373616,0.656617002,0,0.875509696,0.413942877,0.014570858,0.467952635,0.067317728,0.713741881,0.621287412,0,0.409743241,0,0.437731934,0,0.452174552,0.89043936,0,0.705983753,0.197916219,0.934806853,0,0,0.70287414,0,0.92090347,0.340907374,0,0.138030647,0.217609861,0.67019186
3,0.603965996,0.367677264,0.363644844,0,0.214291688,0.700136541,0,0.908864942,0.43313538,0.012304371,0.493316748,0.265707836,0.71948792,0.660007148,0,0.516614301,0,0.41814732,0,0.453104245,0.892419147,0,0.701685975,0.308830867,0.942327911,0,0,0.687238213,0,0.93634048,0.362545828,0,0.091285157,0.256502026,0.66234095
4,0.419135612,0.239168823,0.396726958,0,0.165344392,0.804440232,0,0.928580886,0.462808543,0.026573427,0.520208938,0.37647116,0.809591819,0.66606052,0,0.506409618,0,0.501961809,0,0.447515428,0.94487003,0,0.873188961,0.46312764,0.946162804,0,0,0.781450844,0,0.946163313,0.419492611,0,0.106735732,0.281551242,0.716552704
5,0.353500896,0.227367625,0.410848493,0,0.19567673,0.841572982,0,0.937362272,0.450994003,0.014606022,0.537185976,0.426537481,0.829286075,0.686081978,0,0.569590656,0,0.558394656,0,0.562592824,0.923122166,0,0.79029909,0.501352648,0.947496468,0,0,0.751892014,0,0.943740862,0.498074017,0,0.123437261,0.329583913,0.728271691
6,0.299099876,0.24440486,0.399527376,0,0.168046213,0.850634909,0,0.93871908,0.480417247,0.037748345,0.36581305,0.445206857,0.819668322,0.695470479,0,0.594697824,0,0.571614995,0,0.485203998,0.908108939,0,0.76534111,0.532227131,0.948626298,0,0,0.600422203,0,0.931927384,0.480343694,0,0.140365017,0.28734939,0.736923533
7,0.268290212,0.17989983,0.416312842,0,0.243662196,0.84388782,0,0.94582195,0.499917208,0.026855124,0.41098491,0.46443756,0.828480385,0.703575095,0,0.613887019,0,0.562508667,0,0.524653084,0.952238256,0,0.880438877,0.437726264,0.939015791,0,0,0.805003201,0,0.937365,0.551694448,0,0.09404064,0.318053837,0.73776361
8,0.238707838,0.209038907,0.426833355,0,0.380788744,0.875836278,0,0.947451638,0.510765317,0.045073893,0.579282807,0.471734467,0.855645978,0.639380453,0,0.623038003,0,0.610698835,0,0.559197364,0.913802689,0,0.78453828,0.476404211,0.934552872,0,0,0.794596174,0,0.94353138,0.569655493,0,0.105501524,0.301916152,0.7352748
9,0.220203905,0.146046142,0.438765375,0,0.306498531,0.881526146,0,0.958414723,0.499538573,0.044444445,0.57160581,0.498201804,0.858657014,0.687418706,0,0.642048671,0,0.60066464,0,0.675289895,0.953002662,0,0.891889405,0.459954414,0.949423552,0,0,0.802840814,0,0.948767287,0.529399962,0,0.131306195,0.404191294,0.745407471
10,0.204105837,0.151289586,0.433952949,0,0.279121804,0.870690554,0,0.947705701,0.505305382,0.034703197,0.550473,0.50001494,0.871432141,0.707643051,0,0.614423417,0,0.596078854,0,0.593154715,0.946420577,0,0.86351474,0.502937725,0.944763806,0,0,0.827151497,0,0.948678055,0.530325882,0,0.117266086,0.380328442,0.754360789
11,0.196082617,0.14844227,0.437056355,0,0.308167788,0.868695634,0,0.958031348,0.495071568,0.036893204,0.583173574,0.512472297,0.862653339,0.693025824,0,0.620578186,0,0.599080869,0,0.579413078,0.945130867,0,0.879707339,0.547219243,0.947714485,0,0,0.758598858,0,0.948628519,0.567192866,0,0.140203541,0.354503511,0.779647426
12,0.187531655,0.167712058,0.436367207,0,0.282958187,0.883158179,0,0.953267402,0.493650388,0.046530613,0.580582676,0.521684091,0.826606154,0.666685269,0,0.633484273,0,0.619094409,0,0.658341929,0.934360933,0,0.838414483,0.528742549,0.938343094,0,0,0.785130924,0,0.928057883,0.559000669,0,0.140674655,0.366179169,0.778802697
13,0.162614876,0.135243667,0.448978921,0,0.34652674,0.882607818,0,0.956945835,0.506369013,0.049137932,0.591142113,0.528464537,0.877651773,0.71162071,0,0.653348218,0,0.628179418,0,0.693210849,0.951390256,0,0.875538955,0.500491612,0.950052639,0,0,0.811896956,0,0.949528493,0.579107243,0,0.129181774,0.416086591,0.778845997
14,0.156258855,0.131262819,0.451901952,0,0.344688718,0.88716828,0,0.957721112,0.506061839,0.050892858,0.594554223,0.535488242,0.876175066,0.713626727,0,0.65191086,0,0.631343081,0,0.703544514,0.955993767,0,0.894733257,0.529915897,0.950993393,0,0,0.810019584,0,0.949592712,0.583154131,0,0.132689857,0.418903409,0.781690934
15,0.153597046,0.136808465,0.451152756,0,0.356310879,0.886740062,0,0.956983888,0.507020521,0.051363638,0.594670669,0.533324683,0.879308545,0.717384857,0,0.657720438,0,0.629428922,0,0.702758022,0.949234107,0,0.865600249,0.524371117,0.950709816,0,0,0.815996989,0,0.949938593,0.580440596,0,0.130385411,0.418620908,0.778575291
16,0.151752117,0.144008198,0.448673704,0,0.359245141,0.878241754,0,0.954837787,0.502282343,0.052083335,0.591665063,0.527123817,0.883087823,0.721280679,0,0.655461417,0,0.628368903,0,0.695588732,0.94602347,0,0.851993078,0.49322431,0.950910415,0,0,0.817985688,0,0.950625407,0.571331293,0,0.130335122,0.420305472,0.775557493
17,0.150078268,0.131965832,0.452407339,0,0.34974691,0.884528708,0,0.958173105,0.500470229,0.051136365,0.596916834,0.527217104,0.881789845,0.713980103,0,0.661201843,0,0.63026194,0,0.70786418,0.955278061,0,0.890689678,0.533386116,0.950308135,0,0,0.823083362,0,0.949929451,0.582965733,0,0.129465516,0.417719654,0.780921983
18,0.147831253,0.131608761,0.452327627,0,0.351016253,0.882304826,0,0.957140286,0.504348567,0.051020409,0.59515529,0.528815995,0.878209255,0.709342499,0,0.654871918,0,0.622352178,0,0.706536172,0.956564556,0,0.899634003,0.543528669,0.950818514,0,0,0.823870232,0,0.94959132,0.58425287,0,0.131098718,0.413707994,0.780303546
19,0.147522155,0.153020616,0.446335712,0,0.352035222,0.872284726,0,0.954542803,0.499556243,0.052470589,0.591858351,0.526311085,0.882312528,0.717665842,0,0.655127198,0,0.619606388,0,0.687846301,0.940387068,0,0.837889126,0.485323952,0.950742253,0,0,0.818498829,0,0.950336807,0.567742348,0,0.130566065,0.41335634,0.776282723
20,0.147329912,0.132329374,0.451722564,0,0.352155928,0.882346223,0,0.95706831,0.501733973,0.051034484,0.596450893,0.529983303,0.878509421,0.714009373,0,0.656298193,0,0.622155637,0,0.70586547,0.955525497,0,0.892166546,0.529897025,0.950837477,0,0,0.822119927,0,0.94977072,0.581166105,0,0.131133056,0.414441908,0.780452591
21,0.147052685,0.14301213,0.450001344,0,0.355051633,0.880436626,0,0.95609602,0.503005289,0.051363638,0.594474469,0.529125049,0.880967479,0.717688027,0,0.660076163,0,0.622058026,0,0.701463952,0.945341989,0,0.853918212,0.521961301,0.950883899,0,0,0.824191564,0,0.949857014,0.577859677,0,0.130220477,0.416024202,0.777978308
22,0.147034858,0.131037007,0.453033498,0,0.361045358,0.884738545,0,0.956878827,0.503872103,0.050904979,0.596340257,0.528421896,0.879653136,0.713826992,0,0.656376341,0,0.626309935,0,0.710502992,0.956915264,0,0.897324386,0.538312718,0.95082902,0,0,0.824804364,0,0.949717713,0.583980398,0,0.130530179,0.415651446,0.780135091
23,0.14701876,0.131255293,0.452539905,0,0.360795466,0.882777044,0,0.956738361,0.504522396,0.051020409,0.598250106,0.527366555,0.877473039,0.712720467,0,0.651080122,0,0.620908923,0,0.709103687,0.957355145,0,0.901872254,0.539576698,0.950759947,0,0,0.821428587,0,0.949322171,0.585401075,0,0.132210843,0.410536533,0.780057131
24,0.147001387,0.131488601,0.45305397,0,0.366287617,0.883191838,0,0.956037385,0.50395896,0.051252849,0.598174164,0.528565597,0.877867383,0.712476909,0,0.651547859,0,0.625720835,0,0.706289851,0.957300051,0,0.903077747,0.544433058,0.950733247,0,0,0.822057216,0,0.949405359,0.584294928,0,0.131474474,0.412829421,0.780750282
25,0.146984475,0.142450003,0.450264265,0,0.356187488,0.880717672,0,0.956364435,0.502960216,0.051020409,0.593832974,0.532509664,0.881904458,0.717795353,0,0.661656971,0,0.626294598,0,0.701564236,0.94554536,0,0.854429944,0.518513985,0.950896895,0,0,0.823864427,0,0.949998341,0.577192817,0,0.129906957,0.417001126,0.778298161
26,0.146967947,0.138042468,0.452469948,0,0.363283591,0.888072285,0,0.957362609,0.502583841,0.052173914,0.597305114,0.525238914,0.874666473,0.706102953,0,0.643536277,0,0.62651944,0,0.714244114,0.948877466,0,0.88661822,0.561848205,0.950758972,0,0,0.82563708,0,0.948885493,0.589819883,0,0.131910329,0.40333114,0.780262035
27,0.146952478,0.155541607,0.44754221,0,0.357402747,0.878309242,0,0.954796795,0.50269312,0.051487415,0.591256558,0.53051504,0.883168289,0.717245496,0,0.661431451,0,0.625739799,0,0.688535881,0.937742602,0,0.830631671,0.496485135,0.950823539,0,0,0.820600345,0,0.950265916,0.570561635,0,0.128358098,0.416554962,0.776744997
28,0.146935939,0.129090424,0.454679433,0,0.360539124,0.891058223,0,0.959108816,0.501652223,0.050892858,0.595965918,0.530019471,0.882157337,0.71491338,0,0.661112615,0,0.63413083,0,0.715303633,0.95788258,0,0.900644746,0.559788862,0.951141329,0,0,0.828740749,0,0.950416447,0.584357022,0,0.127035331,0.415540568,0.777339778
29,0.146919556,0.141670259,0.448864169,0,0.353910509,0.877628342,0,0.956037003,0.501879827,0.051494254,0.595678626,0.527818501,0.882328448,0.718446562,0,0.655541435,0,0.624225998,0,0.700192838,0.946660671,0,0.857312275,0.491600579,0.950845449,0,0,0.819984482,0,0.95019612,0.576360453,0,0.131756538,0.415031174,0.778723314
30,0.146903622,0.132107976,0.45420668,0,0.360275484,0.890194206,0,0.958576147,0.503747189,0.050779511,0.59754777,0.527946177,0.878928932,0.710757646,0,0.652935773,0,0.633895392,0,0.719293629,0.95377052,0,0.896561254,0.563287801,0.950961002,0,0,0.829372392,0,0.949529654,0.588175823,0,0.129226527,0.407997207,0.780853724
