epoch,train_loss,val_loss,val_mIOU,val_iou_Animal,val_iou_Archway,val_iou_Bicyclist,val_iou_Bridge,val_iou_Building,val_iou_Car,val_iou_CartLuggagePram,val_iou_Child,val_iou_Column_Pole,val_iou_Fence,val_iou_LaneMkgsDriv,val_iou_LaneMkgsNonDriv,val_iou_Misc_Text,val_iou_MotorcycleScooter,val_iou_OtherMoving,val_iou_ParkingBlock,val_iou_Pedestrian,val_iou_Road,val_iou_RoadShoulder,val_iou_Sidewalk,val_iou_SignSymbol,val_iou_Sky,val_iou_SUVPickupTruck,val_iou_TrafficCone,val_iou_TrafficLight,val_iou_Train,val_iou_Tree,val_iou_Truck_Bus,val_iou_Tunnel,val_iou_VegetationMisc,val_iou_Void,val_iou_Wall
1,2.248363721501696,1.3203421473503112,0.18183200249599055,0.0,0.10306004766041202,0.12162068040506649,0.0,0.5387542883787317,0.009717065475026116,0.0,0.4153456415117412,0.0,0.0,0.2040424462334285,0.0,0.0,0.0,0.06960995598957524,0.0,0.06661864468484544,0.6431883755431382,0.0,0.4283801821737455,0.26905872816656057,0.9101014721038412,0.0,0.0,0.5245673858585119,0.0,0.7966452114366283,0.33214524795754163,0.0,0.010538173270825457,0.0,0.3752305330220766
2,0.9118658173215258,0.37357802093029024,0.35900392341168635,0.0,0.1269652677557867,0.7569632027126981,0.0,0.9069857073778049,0.4898299844784343,0.012737430238756595,0.30365502861695465,0.2124625950929228,0.7505913258110882,0.6337888246174701,0.0,0.43289158250188464,0.0,0.4276937931459207,0.0,0.5133503745468017,0.9279964154166926,0.0,0.8070859452569096,0.22059616987795527,0.9387383354195649,0.0,0.0,0.6378225508840941,0.0,0.9326250469101881,0.46127886287939035,0.0,0.1298650611607362,0.24959521099733356,0.6146068334745765
3,0.5510399999854328,1.3835088968276978,0.2309579277858207,0.0,0.1658248103535659,0.34186389845850096,0.0,0.361210873448126,0.174971767895248,0.008780488019036293,0.5037789695133783,0.08104712559746721,0.3777656074199703,0.2655268882720964,0.0,0.39545416316397963,0.0,0.26972488745435846,0.0,0.10975716816927102,0.5373826855947372,0.0,0.08041075945266012,0.29969037692484046,0.8843733924168685,0.0,0.0,0.5981830826908415,0.0,0.8853802253928513,0.3899753153318605,0.0,0.06974386864050519,0.2078252259991705,0.3819821089369279
4,0.40717399742577104,0.2870255634188652,0.38451569804521657,0.0,0.14834952118035188,0.8045708768072455,0.0,0.9293734569868389,0.43076453234466855,0.02654249157791026,0.5408501621670638,0.3863522896603966,0.8142508674656165,0.656382632007648,0.0,0.4515389245270792,0.0,0.4639239895832422,0.0,0.5341282370890584,0.8718379929944146,0.0,0.6616747127061324,0.38193671627623355,0.9402280628970427,0.0,0.0,0.7193368794316883,0.0,0.9407064393242524,0.4834648196190295,0.0,0.13452593284632441,0.268627374287562,0.7151354256671292
5,0.3558663391804957,0.2040495440363884,0.3998548415095927,0.0,0.17443390356977032,0.7913740916695708,0.0,0.9375599234755727,0.4627252064043237,0.01396203315347234,0.5513274229799393,0.4500190143745145,0.8225541575243506,0.6777194950994272,0.0,0.5437220290227135,0.0,0.5282678103662819,0.0,0.5041058737917816,0.9322897020350485,0.0,0.8234878571973026,0.28299547965852856,0.9460675888734494,0.0,0.0,0.7423787234467804,0.0,0.9445050534177772,0.5502919445924199,0.0,0.0959729233226657,0.31331227312394433,0.7062824212073322
6,0.28533575053398424,0.20294836163520813,0.4053716766510183,0.0,0.1770234407533501,0.8488704469666322,0.0,0.9490383322008654,0.47714388756793735,0.02871536560094919,0.41570869868942106,0.4632827867923341,0.8345392605933387,0.7067833642902005,0.0,0.562275703873083,0.0,0.5419651998831113,0.0,0.5147590147988256,0.9244994274922027,0.0,0.7947068853053793,0.4827500921890433,0.949049762665141,0.0,0.0,0.7428693904527903,0.0,0.9441701443621806,0.5200839335519694,0.0,0.10913191095552086,0.28198493135892155,0.7025416724893868
7,0.2509719051502563,0.1967852771282196,0.4179838434954709,0.0,0.23110336468322884,0.8606254959622399,0.0,0.9532501637559806,0.4937242626682452,0.02908163302400042,0.46858708151190875,0.5066916624817296,0.8463834587416773,0.7062545073848685,0.0,0.6029380445223826,0.0,0.5825517415667467,0.0,0.6115473003269616,0.9187590320053068,0.0,0.7965836325275801,0.4564162772128613,0.9422473423213935,0.0,0.0,0.7473311928555041,0.0,0.9433520503416762,0.5292571899612004,0.0,0.084189873462636,0.32490076825795466,0.7397069162789828
8,0.22516888609299293,0.2584162846207619,0.41524288893201267,0.0,0.26796692720659915,0.8762549814367764,0.0,0.9522796837322666,0.4981341522905873,0.03138075357574273,0.5471478713716873,0.5142971461602505,0.854204640095713,0.6493689692304575,0.0,0.608586196097713,0.0,0.5766696922324608,0.0,0.4955621542064804,0.8581100697691142,0.0,0.7107098811573181,0.43192902639977043,0.9317195012368634,0.0,0.0,0.8189843546446542,0.0,0.9456490087192666,0.5797868330554015,0.0,0.12938295957512636,0.2890509999923416,0.7205966436378134
9,0.2109691634937957,0.1531609483063221,0.43901816603864363,0.0,0.30136027152398054,0.8821319276504005,0.0,0.958148350568538,0.5018330471688319,0.037073171334523106,0.5551699906173739,0.541288350580623,0.8795316750799138,0.7039962277117842,0.0,0.6534331118462955,0.0,0.5750383571030729,0.0,0.7242965428281731,0.9373517389562573,0.0,0.8234933986098951,0.4567366583324842,0.9507242459771712,0.0,0.0,0.7836227738391197,0.0,0.9513388766229912,0.5583440115394435,0.0,0.14320634338508859,0.39653839017319903,0.733923851787434
10,0.20327059891852703,0.31921522617340087,0.41965851765908735,0.0,0.3158287486119159,0.8449277806834333,0.0,0.9434169503740646,0.49287856956850307,0.02908163302400042,0.5731330167687864,0.4473940174970594,0.8551633067291208,0.6897225147569935,0.0,0.5966030353187921,0.0,0.548552758211306,0.0,0.5857375409133808,0.8341659019654569,0.0,0.6814564123014486,0.5263103951033611,0.9486517691102412,0.0,0.0,0.7735143477444921,0.0,0.944282651558443,0.563680223324931,0.0,0.10362362177471114,0.3853390503932502,0.7456083193571034
