epoch,train_loss,val_loss,val_iou,val_pixel_error,val_rand_error,val_dice_coeff,is_best
1,0.2524908228832133,"tensor(1.8803, device='cuda:0')",0.0,0.43255615234375,1.0,8.818963892487375e-10,1
2,0.19974008465514465,"tensor(3.1104, device='cuda:0')",0.0,0.43255615234375,1.0,8.818963892487375e-10,0
3,0.16617013820830515,"tensor(2.1121, device='cuda:0')",0.007355016226894314,0.42937469482421875,0.997975835076607,0.014602631330490112,1
4,0.15915882543605916,"tensor(0.3686, device='cuda:0')",0.4291489564306552,0.2515525817871094,0.7581559033227068,0.6005657315254211,1
5,0.14364004047477946,"tensor(0.1831, device='cuda:0')",0.811068375750452,0.0968780517578125,0.3499724771887054,0.8956794738769531,1
6,0.13264862973900401,"tensor(0.1542, device='cuda:0')",0.8311437372161273,0.07967376708984375,0.2934048308810301,0.9077864289283752,1
7,0.12595816657823675,"tensor(0.3631, device='cuda:0')",0.31674310137062306,0.3006477355957031,0.8487404407971257,0.48110082745552063,0
8,0.1310370362856809,"tensor(0.1761, device='cuda:0')",0.8223632694856041,0.09000015258789062,0.3276037673588469,0.9025239944458008,0
9,0.12413760011686999,"tensor(0.3414, device='cuda:0')",0.5029343334375108,0.218414306640625,0.6865406872206434,0.669269859790802,0
10,0.11123138841460734,"tensor(0.1224, device='cuda:0')",0.8471669267764436,0.07321929931640625,0.27147873658909805,0.9172608256340027,1
11,0.10172498204252299,"tensor(0.1199, device='cuda:0')",0.8593170276295563,0.066680908203125,0.24898682773787217,0.9243361949920654,1
12,0.09737942389705602,"tensor(0.1228, device='cuda:0')",0.8614247520623993,0.06465530395507812,0.24197315952517695,0.9255542159080505,1
13,0.0936536699095193,"tensor(0.1276, device='cuda:0')",0.858250467657773,0.06590652465820312,0.24633659817233822,0.9237188100814819,0
14,0.09025316597784266,"tensor(0.1263, device='cuda:0')",0.8605207899273639,0.06512069702148438,0.2435932709108536,0.9250321388244629,0
15,0.08769028918708072,"tensor(0.1289, device='cuda:0')",0.858807357465471,0.065826416015625,0.24605198412358031,0.9240412712097168,0
16,0.0873581782421645,"tensor(0.1293, device='cuda:0')",0.8590451045826125,0.06557846069335938,0.24519426441669556,0.9241788983345032,0
17,0.08702846747987411,"tensor(0.1317, device='cuda:0')",0.8559978518072485,0.06750869750976562,0.2518775323762985,0.9224125742912292,0
18,0.0867625087061349,"tensor(0.1288, device='cuda:0')",0.8587141334678371,0.06624984741210938,0.2475111472120416,0.9239873290061951,0
19,0.0867331503506969,"tensor(0.1292, device='cuda:0')",0.8594408115771015,0.06543350219726562,0.24468854336174684,0.9244078397750854,0
20,0.08669841421001098,"tensor(0.1310, device='cuda:0')",0.8579927171555992,0.06620025634765625,0.24735142442687896,0.9235695004463196,0
21,0.08667299984132543,"tensor(0.1334, device='cuda:0')",0.8544097813885502,0.0687713623046875,0.2562281405911707,0.9214897155761719,0
22,0.0866697890793576,"tensor(0.1289, device='cuda:0')",0.8598119368539933,0.06534576416015625,0.24438031992349962,0.9246224761009216,0
23,0.08666697473210447,"tensor(0.1303, device='cuda:0')",0.8582742229749077,0.06608200073242188,0.24694012338829663,0.923732578754425,0
24,0.08666392218540697,"tensor(0.1318, device='cuda:0')",0.8576230708204177,0.06640625,0.2480657276588636,0.9233553409576416,0
25,0.08666098578011289,"tensor(0.1354, device='cuda:0')",0.8531288562707021,0.06901168823242188,0.2570687253372538,0.9207442402839661,0
26,0.08665754470755072,"tensor(0.1332, device='cuda:0')",0.8543864474791276,0.06866073608398438,0.2558496938883307,0.9214761853218079,0
27,0.0866548557053594,"tensor(0.1309, device='cuda:0')",0.8570345552811132,0.06690216064453125,0.2497793541914889,0.9230141043663025,0
28,0.08665190812419443,"tensor(0.1317, device='cuda:0')",0.8571172609255127,0.066925048828125,0.24985675163365495,0.9230620861053467,0
29,0.08664842979872928,"tensor(0.1313, device='cuda:0')",0.8575575690174015,0.06644821166992188,0.24821103968886504,0.9233173727989197,0
30,0.08664547958794762,"tensor(0.1315, device='cuda:0')",0.8568989626353615,0.06714630126953125,0.2506200686793617,0.9229354858398438,0
31,0.08664250461494222,"tensor(0.1299, device='cuda:0')",0.8582363272474779,0.06620025634765625,0.2473476396401424,0.9237106442451477,0
32,0.08663937909638181,"tensor(0.1323, device='cuda:0')",0.8555943204868154,0.06789398193359375,0.2532051135674479,0.9221782088279724,0
33,0.0866362601518631,"tensor(0.1317, device='cuda:0')",0.8564961705667887,0.06711578369140625,0.25052129196137773,0.9227017760276794,0
34,0.08663365683134865,"tensor(0.1332, device='cuda:0')",0.8548457934803826,0.06808090209960938,0.25385687960522507,0.9217432737350464,0
35,0.08662992102258346,"tensor(0.1331, device='cuda:0')",0.8547606109024843,0.06830978393554688,0.254642365487869,0.921693742275238,0
36,0.0866271803045974,"tensor(0.1326, device='cuda:0')",0.8557512481501358,0.0676727294921875,0.2524439674759872,0.922269344329834,0
37,0.08662403900833691,"tensor(0.1354, device='cuda:0')",0.8529514184138708,0.06926727294921875,0.2579451834456885,0.9206408858299255,0
38,0.08662087557946935,"tensor(0.1312, device='cuda:0')",0.8566493814717883,0.06727981567382812,0.25108224963537507,0.9227907061576843,0
39,0.08661794640562114,"tensor(0.1342, device='cuda:0')",0.8545043469774478,0.06824493408203125,0.2544239806990114,0.9215447306632996,0
40,0.08661495499751147,"tensor(0.1310, device='cuda:0')",0.8571754394539205,0.06688690185546875,0.24972480459001445,0.9230958223342896,0
