epoch,train_loss,val_loss,val_iou,val_pixel_error,val_rand_error,val_dice_coeff
1,0.481168149,1.005742788,0,0.530128479,1,7.20E-10
2,0.374379083,1.247300386,0,0.530128479,1,7.20E-10
3,0.356430432,1.199546576,0,0.530128479,1,7.20E-10
4,0.333394969,0.388453543,0.791653112,0.117271423,0.414079741,0.883712471
5,0.311548812,0.332423359,0.812552031,0.121967316,0.428505273,0.896583378
6,0.296404541,0.335809678,0.81190685,0.108795166,0.387838388,0.896190524
7,0.275317639,0.331013352,0.857606291,0.083721161,0.306866027,0.923345566
8,0.262999971,0.330823094,0.785846823,0.143527985,0.491911163,0.880083144
9,0.262531128,0.307891786,0.840343853,0.094158173,0.341186038,0.913246572
10,0.246507222,0.300413251,0.831390282,0.101844788,0.365921827,0.907933474
11,0.231719254,0.305588037,0.791140781,0.121139526,0.425861057,0.883393168
12,0.219780228,0.251414388,0.864756188,0.08095932,0.297652814,0.927473724
13,0.210471283,0.386751473,0.709681655,0.160236359,0.538303151,0.830191553
14,0.204338506,0.249442205,0.849487962,0.084659576,0.309970973,0.918619633
15,0.208894038,0.259239346,0.856308732,0.085803986,0.313795787,0.922592998
16,0.195199385,0.285136759,0.822749421,0.110042572,0.391792856,0.902756453
17,0.186926872,0.280867398,0.816175719,0.102863312,0.369132233,0.898784995
18,0.176394193,0.24375385,0.849878329,0.084720612,0.31017416,0.918847799
19,0.16692957,0.258854568,0.834856256,0.093349457,0.338542873,0.909996331
20,0.16297374,0.234125435,0.863245261,0.078819275,0.290436361,0.926604033
21,0.16008354,0.250156343,0.846357999,0.087230682,0.318488694,0.916786432
22,0.157576749,0.24804157,0.849581201,0.08556366,0.312973463,0.918674111
23,0.155375769,0.2392717,0.859344238,0.08039856,0.295744228,0.924351931
24,0.153666683,0.24060455,0.858440036,0.081058502,0.297958225,0.923828602
25,0.152909506,0.241424739,0.858022848,0.08159256,0.299748162,0.923586965
26,0.15226793,0.242637098,0.857911445,0.081100464,0.298097823,0.923522413
27,0.151726902,0.243243977,0.857013376,0.08184433,0.300589179,0.923001826
28,0.150929738,0.248308137,0.851930281,0.084289551,0.308743063,0.920045733
29,0.150183164,0.243317574,0.856873222,0.08215332,0.301623332,0.922920525
30,0.149486839,0.247538835,0.852807956,0.083675385,0.306698809,0.92055732
31,0.148883621,0.250860274,0.850413912,0.084922791,0.310846696,0.919160724
32,0.148201842,0.247227639,0.853918541,0.083377838,0.305708541,0.921203971
33,0.147606572,0.246427104,0.855243605,0.083236694,0.3052405,0.92197448
34,0.146951097,0.252405494,0.849715951,0.085372925,0.312340674,0.918752909
35,0.146375757,0.249747694,0.852302977,0.083816528,0.307168411,0.920263052
36,0.145790905,0.250277132,0.852405243,0.084106445,0.308134274,0.920322657
37,0.145123355,0.248882338,0.854263184,0.083400726,0.305785609,0.921404481
38,0.144505362,0.250563145,0.851946642,0.08429718,0.308768484,0.92005527
39,0.143943304,0.252308339,0.850708143,0.085166931,0.311658259,0.919332564
40,0.143223063,0.247868985,0.857629636,0.081924438,0.300859018,0.923359096
41,0.142605894,0.25990063,0.842045923,0.089248657,0.325135112,0.914250731
42,0.14209592,0.248525053,0.856830579,0.082199097,0.301776426,0.922895789
43,0.141337091,0.253570229,0.850664771,0.084922791,0.310847064,0.919307232
44,0.140820581,0.252230823,0.852755327,0.084091187,0.308084105,0.920526624
45,0.140154779,0.250735849,0.854666587,0.083381653,0.305722884,0.921639085
46,0.139469745,0.257354617,0.847466064,0.086502075,0.316080482,0.917436123
47,0.138868505,0.253192604,0.852135178,0.084205627,0.308464044,0.920165181
48,0.138236442,0.256909966,0.849019054,0.085662842,0.313301702,0.918345392
49,0.137662398,0.255512029,0.851422458,0.084770203,0.31034113,0.919749498
50,0.137053558,0.254553854,0.85167563,0.084907532,0.310798171,0.919897199
,,,0.864756188,,,
