epoch,train_loss,val_loss,val_iou,val_pixel_error,val_rand_error,val_dice_coeff
1,0.851262874,1.110742211,0.832575728,0.152300517,0.62822335,0.908352693
2,0.682814408,0.974670808,0.856722295,0.119670868,0.464532048,0.922825634
3,0.652663891,0.912312587,0.88261406,0.098735809,0.40478281,0.937609951
4,0.628328103,0.865111768,0.867663538,0.110291799,0.437088574,0.929122925
5,0.610211686,0.746945143,0.888154508,0.092778524,0.378647294,0.940750162
6,0.596248808,0.774167101,0.876055247,0.101523081,0.400679674,0.933896561
7,0.583226652,0.819062809,0.887157162,0.093577067,0.381027631,0.940177937
8,0.576231084,0.775599738,0.889051681,0.091920217,0.374688696,0.941226701
9,0.562516891,0.743359407,0.888620766,0.091552734,0.369827652,0.941003144
10,0.552844783,0.767386119,0.889044626,0.091159821,0.368337257,0.941244801
11,0.546316012,0.770131886,0.888093311,0.091892242,0.370799077,0.940701266
12,0.538686411,0.764024079,0.889041883,0.091120402,0.36848036,0.94122837
13,0.534519975,0.767135382,0.890391242,0.090128581,0.365659847,0.941986779
14,0.531961494,0.764511466,0.892096052,0.088695526,0.360624925,0.942939738
15,0.529607612,0.76403288,0.891416683,0.089141846,0.361524417,0.942560752
16,0.528615721,0.768785874,0.890307083,0.090005239,0.36419157,0.941938281
17,0.528440776,0.76865685,0.891935075,0.088815053,0.360934911,0.942851702
18,0.528237315,0.768603504,0.893865852,0.08748881,0.357921243,0.943931123
19,0.528015725,0.76877298,0.891897173,0.088858287,0.361145575,0.942831198
20,0.527797447,0.769549906,0.887816794,0.091838837,0.369183085,0.94054383
21,0.527550111,0.764587482,0.891131822,0.089389801,0.36249312,0.942402164
22,0.527310358,0.769508441,0.891194747,0.089322408,0.362119746,0.942437947
23,0.527082077,0.771882375,0.892393964,0.088476817,0.360038606,0.943109373
24,0.526871452,0.771685084,0.892500822,0.088429769,0.360110856,0.94317015
25,0.526645271,0.768446287,0.88929334,0.090714773,0.365874205,0.941374282
26,0.526436137,0.766996185,0.889160582,0.090836843,0.36639556,0.941299081
27,0.52622944,0.772233923,0.891151672,0.089365641,0.362375115,0.942414562
28,0.526032901,0.773182909,0.891988449,0.088863373,0.361698919,0.942882737
29,0.525840893,0.772974432,0.891247112,0.089341482,0.362595192,0.942467829
30,0.52564922,0.770273368,0.890565167,0.089805603,0.363618335,0.942086438
31,0.525469156,0.772272607,0.889262482,0.090744019,0.36602451,0.941357573
32,0.525281883,0.77605919,0.891336661,0.089307149,0.362631263,0.94251883
33,0.525097962,0.77306511,0.890788499,0.089611053,0.362833788,0.94221284
34,0.524908393,0.775524378,0.890348482,0.090053558,0.364854804,0.941964885
35,0.524733206,0.767344296,0.890581413,0.089792887,0.363578124,0.942096194
36,0.524555796,0.771588604,0.890392308,0.089935303,0.363993871,0.941990475
37,0.524376824,0.774315894,0.889163368,0.090840658,0.366483656,0.941300472
38,0.524202376,0.778416971,0.890333545,0.09005483,0.364733318,0.941958209
39,0.524021156,0.773741325,0.890331221,0.090010325,0.364405736,0.94195505
40,0.523850335,0.773446302,0.89030007,0.090039571,0.364489923,0.941938082
41,0.523675892,0.771134019,0.889654851,0.090450287,0.365197963,0.941577315
42,0.523500093,0.771902243,0.89101904,0.089436849,0.362351832,0.942341169
43,0.523327772,0.773529728,0.89051077,0.089861552,0.363879827,0.942056696
44,0.523154207,0.774924397,0.891124518,0.089426676,0.362740793,0.942401111
45,0.522983159,0.779297849,0.891693148,0.089042664,0.36192079,0.942719738
46,0.522810977,0.786468407,0.892674103,0.088480632,0.361385448,0.943269074
47,0.52263677,0.770701905,0.888009217,0.091691335,0.368765087,0.940653324
48,0.522467571,0.776571532,0.892388277,0.088489532,0.360142556,0.943107824
49,0.522293026,0.778621952,0.890201852,0.090133667,0.364862438,0.941883882
50,0.522121917,0.775024851,0.890628615,0.089752197,0.363430882,0.942122062
,,,0.893865852,,,
