epoch,train_loss,val_loss,val_mIOU,val_iou_B-ground,val_iou_Aeroplane,val_iou_Bicycle,val_iou_Bird,val_iou_Boat,val_iou_Bottle,val_iou_Bus,val_iou_Car,val_iou_Cat,val_iou_Chair,val_iou_Cow,val_iou_Dining-Table,val_iou_Dog,val_iou_Horse,val_iou_Motobike,val_iou_Person,val_iou_Potted-Plant,val_iou_Sheep,val_iou_Sofa,val_iou_Train,val_iou_TV/Monitor
1,1.2916297159526386,1.2278141133051967,0.035364096451677825,0.742646025485234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.1621035640614574,1.2055045406740557,0.035364096451677825,0.742646025485234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.1390511339415266,1.187313622138959,0.03537130387439623,0.7427973813623204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.1226602755373303,1.1734089155351788,0.03540023231445163,0.7426852034839889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007196751194950172,0.0,0.0,0.0,0.0,0.0
5,1.1057416513948655,1.1678928050286173,0.03540701788678035,0.7429784834368887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005688921854985931,0.0,0.0,0.0,0.0,0.0
6,1.090574138751644,1.1639223675982855,0.03731619978669007,0.7480619881750238,0.0,0.0,9.624351669246195e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035481963828775845,0.0,0.0,0.0,0.0,0.0
7,1.0807668581664631,1.1703927226339008,0.03625039595093826,0.7451591487278822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01609916624182179,0.0,0.0,0.0,0.0,0.0
8,1.0664540308575245,1.2210501124154252,0.03557183845625652,0.7417203536481217,0.0,0.0,0.00020336338253852998,0.0003032585492080364,0.0,0.0,1.9743051102837078e-07,0.0,0.0,0.0,0.0,5.025485504657742e-06,0.0,2.3819407315993004e-05,0.0047525896781873255,0.0,0.0,0.0,0.0,0.0
9,1.056728504569725,1.1577364828475971,0.03572670002182492,0.7434232210269047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006179814564679168,1.6899763705979927e-06,7.448011039020157e-05,0.006143327888189865,0.0,0.0,0.0,0.0,0.0
10,1.0471215900943014,1.146497559218421,0.03589045061407142,0.743485892930766,0.0,0.0,0.0,0.0,7.28075662543729e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2672226118257238e-06,0.0,0.010211574666459841,0.0,0.0,0.0,0.0,0.0
11,1.0350262087654012,1.1762878472094274,0.03540694918538945,0.7426925558788415,0.0,0.0,0.0,0.0006209330311215507,0.0,0.0,0.0,3.1896532756134683e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.00023212501788765128,0.0,0.0,0.0,0.0,0.0
12,1.0316717506995146,1.1805224127273788,0.035456399291364425,0.7425547583969303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002029626721722828,0.0,0.0,0.0,0.0,0.0
13,1.0169409776005602,1.2885421466312765,0.035364096451677825,0.742646025485234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.948355219618884,1.1630699737861598,0.03573433015987791,0.743669094573238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006751838784197503,0.0,0.0,0.0,0.0,0.0
15,0.9195778180072887,1.1949646837522894,0.035378670873915316,0.7425959790975696,0.0,0.0,0.0,9.700639789268862e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003551391906727358,0.0,0.0,0.0,0.0,0.0
16,0.9040330109548059,1.1706602624281472,0.03577571201702104,0.7438038650026934,0.0,0.0,0.0,0.0,0.0,1.3505486875921624e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007484736806060854,0.0,0.0,0.0,0.0,0.0
17,0.8863630908819145,1.2028264784449358,0.035444719350457406,0.7429196901060128,0.0,0.0,0.0,1.9138937412000244e-06,0.0,7.06787146506565e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014104344883867556,0.0,0.0,0.0,0.0,0.0
18,0.8832424719463451,1.183693341181143,0.03596523321679395,0.7443478644246198,0.0,0.0,0.0,5.107572891825694e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010921982052325035,0.0,0.0,0.0,0.0,0.0
19,0.8813944988600586,1.2077266888443343,0.035727981941913116,0.7439299906153616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006357630164814272,0.0,0.0,0.0,0.0,0.0
20,0.878946368336041,1.1803465615765951,0.0359213368811791,0.7446089416269897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009739132877771674,0.0,0.0,0.0,0.0,0.0
21,0.8787793486807453,1.1910089303153693,0.035865861469946046,0.7443792646618137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008803826207054003,0.0,0.0,0.0,0.0,0.0
22,0.8786062638848611,1.2174933984862877,0.0360902856444138,0.7452000965322133,0.0,0.0,0.0,0.0,0.0,0.0,3.573505799671227e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012695866265418024,0.0,0.0,0.0,0.0,0.0
23,0.878453190795776,1.2102112161840515,0.035882537993133574,0.7443606500567885,0.0,0.0,0.0,0.0,0.0,4.2992016292426344e-06,5.135780753813218e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009163212816633702,0.0,0.0,0.0,0.0,0.0
