epoch,train_loss,val_loss,val_mIOU,val_iou_B-ground,val_iou_Aeroplane,val_iou_Bicycle,val_iou_Bird,val_iou_Boat,val_iou_Bottle,val_iou_Bus,val_iou_Car,val_iou_Cat,val_iou_Chair,val_iou_Cow,val_iou_Dining-Table,val_iou_Dog,val_iou_Horse,val_iou_Motobike,val_iou_Person,val_iou_Potted-Plant,val_iou_Sheep,val_iou_Sofa,val_iou_Train,val_iou_TV/Monitor
1,1.3225412667394367,1.303340672729761,0.035364096451677825,0.742646025485234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.2754687442466286,1.3605789084665965,0.035364096451677825,0.742646025485234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1.2577647246295354,1.2823876812285984,0.035364096451677825,0.742646025485234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1.2516826419664147,1.2517273881539857,0.03535502905966622,0.7424556102529902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.2551125769597897,1.2432745323865275,0.035364096451677825,0.742646025485234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.2493273559233145,1.291118604927948,0.035364096451677825,0.742646025485234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.2258743254324347,1.2380385698296155,0.035364096451677825,0.742646025485234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1.2308718097303133,1.2467605280865919,0.035364096451677825,0.742646025485234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1.2287787845618257,1.283920342173056,0.035364096451677825,0.742646025485234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1.221178959142971,1.2482225356745147,0.035364096451677825,0.742646025485234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1.1870702245165428,1.2136354603999873,0.035364096451677825,0.742646025485234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1.1814637354466409,1.1929130232492877,0.035364096451677825,0.742646025485234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1.1758329885081877,1.199636927905054,0.035364096451677825,0.742646025485234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1.1763549736558163,1.2028773512972897,0.035364096451677825,0.742646025485234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1.1742908224253188,1.199324189669283,0.035364096451677825,0.742646025485234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1.1654784222631442,1.1946415137051511,0.035364096451677825,0.742646025485234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1.1534731433642311,1.2107463663514333,0.035364096451677825,0.742646025485234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1.1470546995798974,1.2013485725597828,0.035364096451677825,0.742646025485234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1.1434859586872508,1.2055797740701855,0.035364096451677825,0.742646025485234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,1.1410928786335148,1.2141395474294412,0.035364096451677825,0.742646025485234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,1.1406327471347322,1.2576149768768923,0.035364096451677825,0.742646025485234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1.1398793284466573,1.2709200221891563,0.035364096451677825,0.742646025485234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1.1394913095546124,1.2356832093876047,0.035364096451677825,0.742646025485234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1.1385040064971017,1.2108094495596344,0.035364096451677825,0.742646025485234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1.1378781624325898,1.197701776617837,0.035364096451677825,0.742646025485234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
