epoch,train_loss,val_loss,val_mIOU,val_iou_B-ground,val_iou_Aeroplane,val_iou_Bicycle,val_iou_Bird,val_iou_Boat,val_iou_Bottle,val_iou_Bus,val_iou_Car,val_iou_Cat,val_iou_Chair,val_iou_Cow,val_iou_Dining-Table,val_iou_Dog,val_iou_Horse,val_iou_Motobike,val_iou_Person,val_iou_Potted-Plant,val_iou_Sheep,val_iou_Sofa,val_iou_Train,val_iou_TV/Monitor
1,7.868210541078366e-12,7.830696351708639e-12,0.0013795459735231781,0.0009643168423081285,0.000658907877020395,0.0017164914459689236,1.9733088624338895e-05,0.00020562337295102355,0.0027754441968064077,1.243108529574014e-05,0.00020416641765656378,0.004544606750170551,0.005346908402874713,0.0003676765013924243,0.0012293999362228258,1.1663190425584826e-05,0.0006317759739003998,0.003151109187921172,0.0007187808876132363,0.0013276570996696355,0.00014703660744275988,0.00019266252692755274,0.0034103957135002126,0.0013336783392941549
2,7.94127775830148e-12,7.854140135016e-12,0.0014405166447278648,0.0010792444777925523,0.0006531354145022176,0.0015124474975306116,3.1169067378907504e-06,0.0002268364378366423,0.0027672845617862122,2.156524489208955e-05,0.0002547106614608034,0.006057205274668569,0.004433409770982557,0.0004921678230673991,0.000998444949433039,4.740643886367483e-06,0.0005402279139611753,0.0029158497598984912,0.0006301397336791855,0.0009452906004222588,8.132995483375069e-05,9.040281490469339e-05,0.003970999762857283,0.0025722993341513655
3,7.983002065529396e-12,7.886029361443974e-12,0.0014581358116510861,0.0008903574851135747,0.0007917364580650493,0.0008893709836758951,2.5015932117746137e-06,0.0001387627073250183,0.0030168968300647876,1.0939250963873838e-05,0.00011401790743628254,0.007962656088257735,0.004684696273039386,0.0004612101625279306,0.00032815224605381313,9.272687466021936e-07,0.0005678550374632463,0.002406385211812441,0.0003915571906581057,0.0011722970703746804,2.6047576530483022e-05,0.00010017279958253547,0.003101785858516004,0.003562526045253591
4,8.006487989641274e-12,7.90065245590562e-12,0.0015514239526036597,0.001034641095392041,0.0006658552964905183,0.0006491513515795109,4.3634106201921144e-07,0.0001339521598644754,0.0029558550478716566,2.2631937668295464e-05,0.00014758139763914777,0.009426847274293913,0.005339420735727865,0.00028409896371845003,8.829373836530736e-05,0.0,0.00039808446037210425,0.0026929518370574423,0.00025818874566333323,0.0008262667286311867,8.881044951036356e-06,3.588291903343956e-05,0.003140628189559502,0.004470253739735599
5,8.014182213870493e-12,7.908263352474e-12,0.001436000713147836,0.0008916318744456261,0.00074493061802062,0.0006093738062317071,8.37840641582613e-06,7.238557791978114e-05,0.0031579199994700366,9.90426843891283e-06,8.976952546005423e-05,0.008031198311476789,0.0058803859905012445,0.00034664695716651303,7.548521469028008e-05,1.202472572622633e-07,0.0003921387750779305,0.0020473632234375137,0.00015212205710377744,0.0008467536053434621,3.643305402606778e-06,2.0390896362682426e-05,0.0015856631881609518,0.005189809127720981
6,8.015274000661563e-12,7.90812205894882e-12,0.0014467699389240374,0.0008881950927149966,0.0007595641669551329,0.000651440804553998,5.895487584923787e-06,5.74864356891796e-05,0.0030183274896004746,1.1777592990404604e-05,0.00014929304076795137,0.006386245524784003,0.007330363000235858,0.0003436432246069591,5.0076728735399356e-05,0.0,0.00040498652012614444,0.002451524424117826,0.00011923814464305284,0.0009804397535618404,4.80667271089277e-06,2.338858416542784e-05,0.0012465006288461089,0.005498975400014188
7,8.016275230851407e-12,7.899916006177577e-12,0.001545499033187838,0.0008294669504678558,0.00046746212013876675,0.0008151146463211355,3.8726403232349355e-08,0.00015415204916382322,0.002991050630829446,1.8248911007013396e-05,0.00014587217857604207,0.009227738557246961,0.0061765228273859595,0.00017924521653636563,5.1462857961697844e-05,0.0,0.0002778670835573671,0.0029610487580228615,0.00019128903636477112,0.0013224670699538022,8.16080232303451e-06,4.462931595458552e-05,0.002334792156307676,0.0042588498024222
8,8.016815093568771e-12,7.904162786593928e-12,0.001476577941790673,0.0008550906737760382,0.0007507280167487773,0.000561912078509017,1.393478883709259e-06,0.00010588776391246433,0.00309033164959104,2.0118732710459542e-05,9.352307519553362e-05,0.008555260465828525,0.005487633245811334,0.00019840615480581878,4.455402765711979e-05,0.0,0.0005017943610457447,0.002310878305495372,0.00023781178305454188,0.0008863276384860352,5.8638381720612876e-06,3.7228323424044975e-05,0.0020870501364464375,0.005176343028050047
9,8.01690746792467e-12,7.907941288542061e-12,0.00151985450064546,0.0008924529516601755,0.0006760083376792714,0.0005187579960567089,1.071906833622507e-07,7.721410258420804e-05,0.003112461725227808,8.134987923879324e-06,0.00011349640923043235,0.010599792096926151,0.0052164313554600985,0.00020149332172280515,5.04792832053919e-05,1.202472572622633e-07,0.00029349031740885873,0.002328363246614516,0.0001385295060173734,0.0011193616760978476,3.1049032900724725e-06,2.2622396441524246e-05,0.0016067008271615898,0.004937821634905311
10,8.01700236662741e-12,7.905537803830788e-12,0.0014457406095513357,0.0008431429020831936,0.0007770555829420036,0.0004476104242180251,0.0,7.643392712757967e-05,0.0031882218470188906,8.52105524682344e-06,6.972450792366542e-05,0.009066961517616835,0.005671290487309258,0.000265755844660585,3.9833828028252867e-05,4.9734081818568785e-08,0.0004900924178604262,0.001715329672339127,0.00022164209142959437,0.0010118286773519362,6.935156452509093e-06,2.688268622273272e-05,0.0015177198148147173,0.004915520625850082
