epoch,train_loss,val_loss,val_mIOU,val_iou_unlabelled,val_iou_road,val_iou_sidewalk,val_iou_building,val_iou_wall,val_iou_fence,val_iou_pole,val_iou_traffic_light,val_iou_traffic_sign,val_iou_vegetation,val_iou_terrain,val_iou_sky,val_iou_person,val_iou_rider,val_iou_car,val_iou_truck,val_iou_bus,val_iou_train,val_iou_motorcycle,val_iou_bicycle
1,1.1091451131596284,1.0437943850159646,0.1318938078544795,0.6513608699483642,0.14380517826567493,0.4700569236217338,0.14100757249218307,0.0,0.0,0.0,0.0,0.5302142293921825,0.0748099724835553,0.0,0.0,0.0,0.49472760303141644,0.0,0.0,0.0,0.0,0.0,0
2,0.9300276103139925,0.9551043972373009,0.13999342790516042,0.7375358651770741,0.22452869850550736,0.5213576888346582,0.04149504908065674,0.0008925043339878489,0.0,0.0,0.0,0.551945445567458,0.08553622762145859,0.0,0.0,0.0,0.49639931919040853,0.0,0.0,0.0,0.0,0.0001843318868435495,0
3,0.8698924091383189,0.8439230329990387,0.15692080295383976,0.7656547683825423,0.268439202947225,0.5735899040609633,0.10055661002452286,4.794618418855286e-06,0.00010817828503685899,0.0,0.0,0.6101233325442695,0.08139666433086777,0.0,0.0,0.0,0.5816115227226198,0.0,0.0,0.0,0.0,1.027820648964638e-05,0
4,0.760693318468182,0.9067073997855186,0.1445663071153485,0.7423164564709838,0.24190639923908513,0.4943381685769812,0.11889820290105554,1.0752688229853162e-06,0.0007936589685184947,0.0006883555931636691,0.0006089103234152603,0.48250378487549844,0.06071614266727105,0.0,0.0,0.0,0.6039886803068248,0.0,0.0,0.0,0.0,0.0,0
5,0.7273847106274437,0.7833038187026977,0.1644655643960175,0.7535918632415884,0.3370007455614403,0.571130753742164,0.08220730028408417,0.00021828541801411893,0.0020446681799091695,0.0013825251882610776,0.022813336790545344,0.6183358721544729,0.08768269838431474,0.0,9.566108364831574e-05,0.0,0.6009445299202268,0.0,0.0,0.0,0.0,0.04739748357566741,0
6,0.6953648814533939,0.8710139535069465,0.15321651487840127,0.7655413021957403,0.2718774666951044,0.529921319028113,0.17384055901064907,0.0,0.002116384593275793,0.0,0.03385129655682163,0.4812466834920425,0.03460497850638877,0.0,0.009070898261439812,0.0,0.602437564319613,0.0,0.0,0.0,0.0,0.006605330030435933,0
7,0.6831705306057169,0.8394653368592262,0.15076593650528824,0.7583998364871745,0.2300271347475727,0.5648413250383724,0.09007276638222231,0.00026059991708204087,0.0006426475963564334,1.1019284050118017e-05,0.019154091532381245,0.5664867954808686,0.030687181911968273,0.0,2.649006657602737e-06,0.0,0.6002087087501167,0.0,6.060606427915541e-05,0.0,0.0,0.0036974314013740804,0
8,0.6721678280880471,0.750285895228386,0.17076666748068145,0.7927229470626538,0.35167539024707023,0.5632234769992437,0.12367270774525489,0.005726589511542054,0.00470477458601647,0.001834824630904928,0.008831023308091516,0.6014132539596897,0.08859031568098887,0.0,9.19124628276378e-06,0.0,0.6547361609328567,0.0,0.0007232511184020894,0.0,0.0,0.04670277510394565,0
9,0.6737465121565747,0.7561076990962029,0.16387584127692917,0.8028048926279967,0.2864523108619045,0.5667829687416013,0.08656519183515318,0.009725867290078856,0.004151011188734699,0.00013854786105596428,0.030627616947247215,0.5850081820621885,0.07438160518466304,0.0,0.0006119201635274562,0.0,0.6575840039149492,0.0,0.008806865582551858,0.0,0.0,0.0,0
10,0.6455072877437127,0.7230076578855514,0.18615597942602946,0.7912235874084106,0.35569853201976476,0.5845918047229774,0.1697985323387983,0.02472653720783103,0.04454402920968428,0.00012493587084280868,0.02876452848664141,0.6265750215113356,0.08878275219010649,0.0,0.00174003596131885,0.0,0.6782455395181766,0.0,0.11102158502102848,0.0,0.0,0.031126187627642778,0
11,0.6409685517459357,0.6898021130561829,0.17354009478720042,0.8140133967659078,0.29685295048543947,0.5674544937296689,0.1357332955071971,0.0016332973986734117,0.020988698101599642,0.0005804021369514877,0.035740153166751054,0.6299374162320045,0.05645352130998709,0.0,0.0015854025856826773,0.0,0.6660328764417758,0.0,0.06988396765914481,0.0,0.0,0.0003719294360251658,0
12,0.6319154377444451,0.7059314197897911,0.18753198214036285,0.8170162135726946,0.3716645189634228,0.5700121378664945,0.12689610277515723,0.007533634639166099,0.04751099247020868,0.0002822966673464721,0.0381860396624644,0.6249015939754948,0.0719773669290271,0.0,0.003021618760783617,0.0,0.6754208979549302,0.0,0.10823974794237778,0.0,0.0,0.10044449848732896,0
13,0.6463214625080093,0.7327301004528999,0.17589224885311758,0.7900523736154386,0.26572939602474005,0.5924259189279895,0.15491643908009411,0.0021914736046876352,0.041682779808360514,0.0007743992437271082,0.045543248113584026,0.6321834064824191,0.052071689837611186,0.0,0.02301677898923715,0.0,0.6398228714263784,0.0,0.0,0.0,0.0,0.10154195305496591,0
14,0.6381947638758091,0.7082986561954021,0.17736264743031088,0.7900981016101564,0.3300438434911368,0.5776200835690419,0.16254492649824123,0.00171778763433463,0.014613359423437366,0.01263875805151251,0.06963883207573525,0.6198900609897696,0.061491994694658964,0.0,0.014995203176657737,0.0,0.6511324117635865,0.0,0.00039480529589796745,0.0,0.0,0.06307013290173864,0
15,0.5235238729605154,0.6005787329673767,0.20065034449608354,0.8257174655501569,0.3861692645514076,0.6211303874984898,0.1795511531262628,0.015253776322614012,0.0540198919964784,0.036231733558292005,0.09653530056219536,0.6712260483850782,0.08789381281070728,0.0,0.015823852517088895,0.0,0.7074142407189202,0.0,0.016767657974027992,0.0,0.0,0.09862195985386488,0
