epoch,train_loss,train_loss_0,train_final_norm_0,train_loss_gd_norm_0,train_loss_1,train_final_norm_1,train_loss_gd_norm_1,train_loss_2,train_final_norm_2,train_loss_gd_norm_2,train_loss_3,train_final_norm_3,train_loss_gd_norm_3,train_loss_4,train_final_norm_4,train_loss_gd_norm_4,train_loss_5,train_final_norm_5,train_loss_gd_norm_5,train_loss_6,train_final_norm_6,train_loss_gd_norm_6,train_loss_7,train_final_norm_7,train_loss_gd_norm_7,train_loss_8,train_final_norm_8,train_loss_gd_norm_8,train_loss_9,train_final_norm_9,train_loss_gd_norm_9,train_loss_10,train_final_norm_10,train_loss_gd_norm_10,train_loss_11,train_final_norm_11,train_loss_gd_norm_11,train_loss_12,train_final_norm_12,train_loss_gd_norm_12,train_loss_13,train_final_norm_13,train_loss_gd_norm_13,train_loss_14,train_final_norm_14,train_loss_gd_norm_14,train_loss_15,train_final_norm_15,train_loss_gd_norm_15,train_loss_16,train_final_norm_16,train_loss_gd_norm_16,train_loss_17,train_final_norm_17,train_loss_gd_norm_17,train_loss_18,train_final_norm_18,train_loss_gd_norm_18,train_loss_19,train_final_norm_19,train_loss_gd_norm_19,train_loss_20,train_final_norm_20,train_loss_gd_norm_20,train_loss_21,train_final_norm_21,train_loss_gd_norm_21,train_loss_22,train_final_norm_22,train_loss_gd_norm_22,train_loss_23,train_final_norm_23,train_loss_gd_norm_23,train_loss_24,train_final_norm_24,train_loss_gd_norm_24,train_loss_25,train_final_norm_25,train_loss_gd_norm_25,train_loss_26,train_final_norm_26,train_loss_gd_norm_26,train_loss_27,train_final_norm_27,train_loss_gd_norm_27,train_loss_28,train_final_norm_28,train_loss_gd_norm_28,train_loss_29,train_final_norm_29,train_loss_gd_norm_29,train_loss_30,train_final_norm_30,train_loss_gd_norm_30,train_loss_31,train_final_norm_31,train_loss_gd_norm_31,val_loss,val_mIOU,val_iou_Animal,val_iou_Archway,val_iou_Bicyclist,val_iou_Bridge,val_iou_Building,val_iou_Car,val_iou_CartLuggagePram,val_iou_Child,val_iou_Column_Pole,val_iou_Fence,val_iou_LaneMkgsDriv,val_iou_LaneMkgsNonDriv,val_iou_Misc_Text,val_iou_MotorcycleScooter,val_iou_OtherMoving,val_iou_ParkingBlock,val_iou_Pedestrian,val_iou_Road,val_iou_RoadShoulder,val_iou_Sidewalk,val_iou_SignSymbol,val_iou_Sky,val_iou_SUVPickupTruck,val_iou_TrafficCone,val_iou_TrafficLight,val_iou_Train,val_iou_Tree,val_iou_Truck_Bus,val_iou_Tunnel,val_iou_VegetationMisc,val_iou_Void,val_iou_Wall
1,2.012590339448717,0.0,0.5426796886656019,0.022999271776320204,148.62613329773316,0.6932587047417959,0.07843999717798499,4.024346769352563,0.6269470579094357,0.06642054544968737,0.0,0.6100210785865784,0.02691719654119677,1.0499386116681633,1.0472612460454305,0.31106989110509553,47.66578764867819,0.5905071159203847,0.1200435399181313,223.41124483909795,0.6075251347488827,0.05352442001716958,81.6417675980333,0.7464991735087501,0.09224584514482154,25.848132729460257,0.5922986818684473,0.05940644960436556,3.5606026149528893,0.6765316161844466,0.0697043983058797,6.30648860419773,0.7326082011063894,0.06560291879706913,36.75024685329861,0.6213509195380741,0.028297474457778863,67.52908877724813,0.5244084027078416,0.07837866538514694,0.0,0.6226564957035913,0.025504206229622167,20.772319961004975,0.5905978050496843,0.05435262657701969,0.0,0.6183861162927415,0.02942387600325876,29.54964646216338,0.7098185883627998,0.0628896047671636,0.6123827987884751,1.3012948420312669,0.24201470033990014,0.0,0.5829293496078916,0.031451871313361655,1.5849747507764493,0.9111788597371843,0.140149278110928,78.48705144365005,0.6643970873620775,0.10752633760372797,0.9624430010518429,0.948519754740927,0.13594625267303653,0.0,0.5866110424200693,0.03175721472232706,0.0,0.6181773642698923,0.026228453198240863,11.24156611134642,0.6984326759974162,0.07969282165997559,0.0,0.5615367359585233,0.027011500376587113,0.7363678408769971,1.1181553694936963,0.17499499573475785,22.256395212034505,0.7198888805177477,0.1123971184508668,0.0,0.5726111928621928,0.023722558251271644,26.88310622814366,0.5970356623331706,0.07319761003471083,22.95176543821379,0.5146519498692619,0.0764759873557422,10.593912057306403,0.6258908265166813,0.051474671293463975,3.1667667388916017,0.05814975912733746,0.0,0.024535940994494406,0.054748709821269434,0.0,0.14496953008014607,0.0,0.0,0.0,0.010346946478429684,0.08520656237455612,4.5408105372578104e-05,0.0,0.0,0.0,0.022507290040551048,0.0,0.04220540376491662,0.06402393362062372,0.0,0.06292095048999188,0.01712554415727459,0.8605309562243322,0.0,0.0,0.051049913618809006,0.0,0.36337229662345133,0.0,0.0,0.0,0.012314403666303564,0.04488850201427645
2,0.9182254950205485,0.0,0.5970385683907403,0.0026929009214250576,19.440106049636377,0.9361542085806529,0.0635293882029752,1.9928321689781547,0.8048581567075518,0.06932510992305146,0.0,0.6759314583407507,0.0027049861499108376,0.3830284967061657,1.4351560155550638,0.16067853031886947,19.742378925151698,0.7280176824993557,0.13923580511990521,176.69638670868036,0.6690888636642032,0.06662597520690826,61.72349329091955,0.9572063247362773,0.06608846988528967,19.05405348707384,0.7135272569126553,0.05904519932551516,2.1014643082427655,0.8631246050198873,0.07783144294387764,2.1271097758419777,1.1403597070111169,0.0365221109551688,40.86165635850694,0.667674923605389,0.0029827839099905557,33.26189780782913,0.7441886140240563,0.09278861369109816,0.0,0.6622111969523959,0.002780839159256882,9.639240445386722,0.8340411755773757,0.07598128707872497,0.0,0.680668294429779,0.002827979586759789,12.462214541516563,0.880690355433358,0.07624794621434476,0.19080511658584806,1.7703383803367614,0.08103928207937214,0.0,0.6473200625843472,0.0028435617387812173,0.583403822630827,1.262514865398407,0.07699385113600228,25.568183287338663,0.837719143099255,0.09640487592874301,0.12061078884193986,1.3519913646909925,0.026485816249623893,0.0,0.6527667575412326,0.003573652262437261,0.0,0.6670459065172407,0.0029797890327043003,4.0433676281619535,0.9417992995844947,0.06010385698949297,0.0,0.6286635922061072,0.0026486367892680895,0.22554661483865043,1.5136457125345866,0.056831840818954836,8.728074494222989,0.9388811488946279,0.09681978579610587,0.0,0.6242033938566843,0.0025525578271804582,19.00631919155205,0.7243287523587545,0.11584333980249034,19.134380904536666,0.6637863688998752,0.09453597337835365,4.818061739204133,0.831837272644043,0.06055746316495869,0.6660070300102234,0.26795479699154906,0.0,0.19360417411931913,0.24174552480665298,0.0,0.7739928883977588,0.06471044838839965,0.003929273161675307,0.6033446564168357,0.11831720882222008,0.4302728069140933,0.5080949777027909,0.0,0.08302887327252399,0.0,0.26405564134869575,0.0,0.1686520234585845,0.8359840378752519,0.0,0.5251586862338613,0.29890995853471497,0.9271708967981238,0.0,0.0,0.39851328343484116,0.0,0.86910178532249,0.44689698431035857,0.0,0.35493997714706343,0.1145085873160772,0.3496208099472357
3,0.5753201282686657,0.0,0.6097152961624993,0.0009038096895286192,16.99861720429283,0.9585234688387977,0.07987157727798654,1.4052403270866283,0.9067778666814168,0.06556689786828226,0.0,0.6896351728174421,0.0010190345560355733,0.23605598659970192,1.6171448601616754,0.10072794328961107,13.232964258180264,0.8759974327352312,0.1160768325957987,78.53788720555795,0.8061224228805965,0.0770746473222971,67.28807399410111,1.0338210781415305,0.04649836323224008,12.356555838212822,0.8798365685674879,0.04978287019249466,1.2089856123633145,1.0263371686140697,0.08239819904168447,1.256682578452324,1.2719607485665216,0.022818690996306637,54.98700629340278,0.6795639938778347,0.0012438838324871741,12.077532446159562,0.9075285381740994,0.0741773313532273,0.0,0.6718596067693499,0.0010504080415962057,5.6075776337573355,0.9593516422642602,0.08495014847980606,0.0,0.6936111847559611,0.0008912254558203535,8.45190188333778,0.9463428404596117,0.07037937347259786,0.12548686436622733,1.9165589160389371,0.05131845690516962,0.0,0.6614002823829651,0.0010299374342947784,0.3280944663398595,1.392106088002523,0.042490416175375384,15.082954137066016,0.9342654532856411,0.06895714508266085,0.10610621694835629,1.442474909623464,0.022525226433450975,0.0,0.6678052061133914,0.0010693412500485365,0.0,0.6786173674795363,0.0012035377905704081,2.4925916809535633,1.0401930782530042,0.0424841217075785,0.0,0.642871065934499,0.0010023614876748374,0.1636109916239742,1.6323216146892972,0.04296096133896046,6.6839038556285395,1.0762055860625372,0.061366847674879765,0.0,0.6354148480627272,0.0010345589104367213,9.48962973893667,0.8446013357904222,0.11409334952218665,16.489520414337978,0.7692160877916548,0.09852968433664905,2.6419848701608863,1.013659828239017,0.055383150196737715,0.5973103433847428,0.30675755413631267,0.0,0.28222537224250854,0.562615507217173,0.0,0.7632097063802337,0.12741460448264857,0.07219830253037687,0.5162624953685995,0.18354924046876722,0.5270233309436294,0.5146003579729257,0.0,0.09154145787086967,0.0,0.39992459495223787,0.0,0.29881357007321674,0.8234206962729431,0.0,0.4603372158502765,0.3432338359467825,0.9287869041343402,0.0,0.0,0.5381909622349005,0.0,0.8647849198350647,0.6032511642388227,0.0,0.13923989290736188,0.2493972065478119,0.5262203938905147
4,0.44317377772596145,0.0,0.6142207874192132,0.00047705419710837306,11.706962551747097,0.9833926386303372,0.06469933939062887,1.020332885855519,1.0080189042621188,0.06375175819007886,0.0,0.6945096770922343,0.0005541661492316052,0.1938725605287519,1.720008012983534,0.08995457421988248,7.664329725035706,0.9916356835100386,0.08580321232891745,92.03665475667955,0.8820949918693967,0.07000876493338082,70.4838858500879,1.0700040698051452,0.03631090141004986,8.277654737013405,0.9838829338550568,0.05219088147083918,0.767151047608211,1.1525052573945787,0.05329771884199646,1.1804000950304505,1.3169131477673848,0.022433048740236296,60.43499891493055,0.6834537393516964,0.0007747415892986788,7.382246741878679,0.9899257183074951,0.04817838272493746,0.0,0.6751118116908603,0.0005559637848313691,4.308250697085602,1.0246218701203664,0.07709221246962746,0.0,0.6979191256894006,0.0004892643314734515,7.299068313298457,0.9967165986696879,0.07989447195496824,0.10170275267063573,1.9939373426967197,0.04145899588863055,0.0,0.6662519984775119,0.0005561963503067899,0.24893595280697411,1.470167006386651,0.02945023440859384,8.318269320748167,0.9813069999217987,0.040980283124372366,0.10286443764057521,1.4926978164248996,0.02429089830515699,0.0,0.6728973507881164,0.0005382601191134503,0.0,0.6825712727175819,0.0006131376712194954,1.618268761418923,1.0826642420556811,0.03556472645141184,0.0,0.6478890988561842,0.0005787149598796128,0.14037370557845227,1.7046328094270495,0.04087691113559736,4.995688635776199,1.1663000517421298,0.04592439749588569,0.0,0.6393009642759959,0.000596299134970953,6.3636578440109615,0.922637923558553,0.08386744707822799,15.219917967348064,0.8545512311988407,0.1044425468891859,2.151804200764438,1.1155732009145949,0.044954136800434856,0.3668827936053276,0.3598183496399471,0.0,0.3322983952857329,0.7106204464246929,0.0,0.8633374806654878,0.26374972458042956,0.06648840323192816,0.6545164928613374,0.3265099582834995,0.6571288549409842,0.5774648104215163,0.0,0.13681430579803103,0.0,0.46099245781454395,0.0,0.49259909885462455,0.8409233244066971,0.0,0.6665498448950354,0.4111646158915292,0.9344440172583696,0.0,0.0,0.7017980426288876,0.0,0.9049618938778178,0.36486147176721506,0.0,0.26976261871597657,0.2480023228411145,0.6291986070328548
5,0.35368019425206715,0.0,0.616304012801912,0.0002744303118864385,9.34612035843283,1.0140555567211575,0.04801502781402733,0.693894143098662,1.0703791989220512,0.04504039668374592,0.0,0.6967465082804362,0.0003271292583020921,0.15820687427279437,1.7908633430798848,0.06759093492809269,9.83940875285126,1.0624329143100315,0.06239393009907669,49.14513616873092,0.9098323232597775,0.05710707119045158,67.97251284610962,1.0952761941485936,0.028157792848327923,5.218108950523195,1.043445106347402,0.04251294695875711,0.6578653104945766,1.2239146497514513,0.04651990327984094,1.0306700723673137,1.3500951912668016,0.02571843265452319,60.87946506076389,0.6848402116033766,0.0005364924918265185,4.214294492806717,1.037891681989034,0.029602837060681647,0.0,0.6765066888597276,0.0003224265040545207,3.671101907226609,1.0700601365831164,0.058824512817793426,0.0,0.6998149620162116,0.0002992084081698623,6.219391875859334,1.025741818216112,0.07421831670734617,0.09185484504843693,2.048369566599528,0.038230594764981,0.0,0.6684742424223158,0.0003237885799737544,0.20951610606385754,1.513860895898607,0.025801755187826025,7.068313335542717,1.0148110111554465,0.03376956672355946,0.0925982722992957,1.5263834211561416,0.022320647263485524,0.0,0.6752327018313937,0.00033279685917983037,0.0,0.6843799432118733,0.0003656223350036372,1.1776367725740202,1.1103141122394138,0.025722687280115984,0.0,0.6502523892455631,0.0003508719198483353,0.1279314488958781,1.7532551685969036,0.03850701797960533,3.010778849715687,1.214763269159529,0.034963879832584,0.0,0.6411039723290337,0.0003635903047527083,5.317434699822372,0.9523810029029847,0.07306931090230744,13.884023532985095,0.9120824257532756,0.08847097826914654,1.8675613932515414,1.171923667854733,0.034891336913117105,0.46444691717624664,0.341073527470707,0.0,0.300564882636068,0.6970576258296933,0.0,0.8535581309367007,0.25035263649117334,0.0811542106011426,0.48524572961259116,0.31894692236063726,0.7170702792866687,0.5422065541354886,0.0,0.2600158579796506,0.0,0.4495042777812812,0.0,0.4328578654372749,0.8184059013129638,0.0,0.3959144535196837,0.3172371232161416,0.9058112354225811,0.0,0.0,0.5407769552751298,0.0,0.8743537087127551,0.48618485509609394,0.0,0.4684545114453916,0.17631183867812542,0.5423673232953897
6,0.3107070725825098,0.0,0.6173706173896789,0.00020249474425024043,8.792572281418085,1.0344277209705777,0.04105121827839563,0.5082489803062474,1.1117439190546672,0.027494285286714635,0.0,0.6978605177667406,0.0002347204746911302,0.13132904668908774,1.8440227773454454,0.05543121962497632,4.578990488043986,1.1157457484139337,0.041250362081660163,39.514697302542814,0.9429985105991363,0.0376238524965528,59.28197867134994,1.1080695986747742,0.03475491065635449,4.566215720176,1.076510735352834,0.04411178597559531,0.5679204427125941,1.260143760840098,0.040936006331402396,0.9765951799359434,1.3639672676722208,0.021522982594453625,64.01048177083334,0.685378149482939,0.00042559293101981487,3.926976051397811,1.0658768508169385,0.027844770123354262,0.0,0.6771093785762787,0.00024223313812399283,3.34840243733976,1.100004537900289,0.049036495263377826,0.0,0.7007225659158495,0.00021617631136905402,4.816622633570453,1.0487913873460557,0.05071539629975127,0.08220802662579853,2.0885234011544123,0.03377998016981615,0.0,0.669593173927731,0.00023536325784839898,0.1787144172001097,1.5395653949843513,0.021993286410967507,8.217040872670447,1.0362642884254456,0.0399945415634041,0.09198853829264221,1.546840316719479,0.02469224167159862,0.0,0.6764462285571629,0.00024193254357669504,0.0,0.6852483643425835,0.0002624249291127651,1.2226651130181894,1.1267412887679207,0.027150021948748163,0.0,0.6514910327063667,0.00025473633593517457,0.11675920110564664,1.7855048219362895,0.03680726479118069,3.0853492582640007,1.2330841832690769,0.02212669410639339,0.0,0.6420155935817294,0.0002660898732655268,4.224611537723897,0.9882174114386241,0.06104095083557897,12.81262380081963,0.9457425038019817,0.09062916255659527,1.6636178997073126,1.2038013723161485,0.03556026971588532,1.7003058969974518,0.30875430078029065,0.0,0.2739157871324941,0.38671404588806596,0.0,0.5044370619778714,0.27675080363154536,0.030508227978632264,0.6208303835743296,0.31260540213893767,0.8207267938764329,0.2305899082485036,0.0,0.30682043743451204,0.0,0.4651728456224111,0.0,0.37329089184092024,0.26533298035175623,0.0,0.31470580168178885,0.4169531178761715,0.9326877112182965,0.0,0.0,0.6807660685891826,0.0,0.922456886560588,0.7071731778424442,0.0,0.4209452835978135,0.16840489866092617,0.4483491092456748
7,0.26671201636393865,0.0,0.6179350270165338,0.0001477275233709305,7.103509127703827,1.0481347415182325,0.03279896287971901,0.384741037905895,1.1449059208234151,0.023430324226824773,0.0,0.6984356787469652,0.0001741147689851156,0.11903816376266853,1.8813651376300389,0.05482384343114164,2.6990627537888567,1.1484276904000177,0.025721298328911266,46.92598405649594,0.9654394268989563,0.034581240336410704,62.73660187414656,1.1174918439653185,0.025393117004488076,3.6088422220450354,1.1040296276410422,0.03813053234997723,0.4825182961999323,1.283655485841963,0.030945877441101603,0.9242600092096616,1.376322939660814,0.01802099775781648,64.28200954861111,0.685654142830107,0.0003536721025334878,2.541362175396884,1.1023156748877632,0.02070595816605621,0.0,0.6773308257261912,0.00017727517341780994,2.809616783520837,1.115365527735816,0.03980952198099759,0.0,0.7011490748988257,0.00016334967133136363,4.1432841309103585,1.0550795608096653,0.046171053147150413,0.07474374530998333,2.1214285877015855,0.03276560201516582,0.0,0.6701906422773997,0.0001708699859187214,0.15820905283122846,1.564179970158471,0.019754316890612245,4.549116553587603,1.0421562433242797,0.024081332355530727,0.08638290452983904,1.5695200774404738,0.019198153680190445,0.0,0.6771276295185089,0.00018057281332504419,0.0,0.6856733567184872,0.0001898420642343505,0.8818853107941592,1.1397172106636895,0.018445510417222977,0.0,0.6521780550479889,0.00019267146077860768,0.10530803730526621,1.8179990278349982,0.035423979649527204,2.049592121836025,1.2532756567001342,0.016319727569094136,0.0,0.6424978892008464,0.00019998771054411513,4.214874045504322,1.0091060558954874,0.06214662248061763,11.542525106843604,0.9736983113818698,0.08544969033035966,1.4888906337256518,1.2280596176783243,0.02660390796760718,0.2513376295566559,0.4200231253589224,0.0,0.3749892555525475,0.7981075186085673,0.0,0.8982222112291998,0.37071457753073755,0.11347842372921546,0.6881757244572144,0.374538161378387,0.8020554606552703,0.6219843877361789,0.0,0.36835288587175014,0.0,0.5960062632482963,0.0,0.5706331692958109,0.8945576583338187,0.0,0.7357173437770399,0.48534358561362956,0.8984266005421665,0.0,0.0,0.7746791799342722,0.0,0.9064542485591558,0.706262567398358,0.0,0.49688169471668714,0.24286964037392061,0.7222894529432933
8,0.24743387086523905,0.0,0.6181536283757951,0.00011541364817983575,6.396294320973963,1.062342393398285,0.03474930811983844,0.37831261555024537,1.1633109052975972,0.02501563754760557,0.0,0.6986490243011051,0.0001355431018358407,0.10332436748057999,1.912240133020613,0.048714888747781515,2.636854739150494,1.1856055710050795,0.02348844568348593,40.28521194726721,0.9723294940259721,0.034709215598801774,59.3621734285754,1.125386611620585,0.021672143104175725,2.900018996243545,1.1158300439516704,0.03014813020514945,0.4263871530032896,1.3047260363896689,0.026871864968496893,0.8682557295536552,1.3915161556667752,0.021630947271154985,63.11733940972222,0.685455114973916,0.0003075595708247015,2.62516956683161,1.1247045463985867,0.01717697768730836,0.0,0.6772859851519267,0.00014224357752633902,2.538170491851207,1.1365723490715027,0.0389119773508153,0.0,0.7012463920646244,0.00012943756478812752,3.6046900433843927,1.0734342734018962,0.04152326795996891,0.07367173418947262,2.1429155694113837,0.03218955449346039,0.0,0.6704195936520895,0.00013255352112335258,0.15007586592225597,1.5778735333018832,0.02086701824122833,4.97641596747792,1.054425589243571,0.024829796506350654,0.08089770329410263,1.588002281718784,0.01914459398249164,0.0,0.6774196353223588,0.00014644918555859477,0.0,0.685768100950453,0.00014616155070446742,0.9910728214266891,1.1541691766844855,0.024813199022577868,0.0,0.6524976213773092,0.00015250933340414324,0.10262159564606112,1.8381164047453138,0.033732659483535425,1.9245502883778594,1.269227425257365,0.016759444752501115,0.0,0.6426783952448103,0.00015933134838835232,3.8112025429062197,1.0263877113660176,0.05600624508741829,10.862493165849699,0.996432837512758,0.08973293020907376,1.3919011249853168,1.2447923726505703,0.030361837743678028,0.2951531887054443,0.40818071826095104,0.0,0.31914093680083955,0.7567379506221528,0.0,0.8948606748583693,0.31297944220353413,0.1114746488072464,0.6318811051200429,0.3517184132764902,0.7902171495874395,0.543617944950155,0.0,0.36947695736300645,0.0,0.6474600763468784,0.0,0.5016989014640352,0.8654469035648342,0.0,0.6999707417652129,0.4214559019150895,0.9383168551832425,0.0,0.0,0.6610476795216609,0.0,0.9163364517056969,0.7812181487777317,0.0,0.5426800921103784,0.2775267508504974,0.7265192575558996
9,0.2320490269197358,0.0,0.6181749913427564,9.879340561585398e-05,5.333979090320212,1.0722209956910875,0.02818702358377373,0.3488809211055934,1.181201770570543,0.022940603025361068,0.0,0.6986471924516889,0.00011068630345915962,0.10368111165781338,1.9279962407218085,0.04608059344399307,1.5282952945728203,1.20665262805091,0.017860661855795316,19.20479369564587,0.9827188650767008,0.023132417278571262,52.888131024722924,1.1386621673901876,0.01863019373267889,2.6759544277225094,1.13070398039288,0.02860281383101311,0.4122854901868601,1.3232757581604853,0.0235221229493618,0.8104784876818935,1.401525010002984,0.016336358211831086,68.81076388888889,0.685036399629381,0.00028372814146374975,1.9001723911708657,1.1379833102226258,0.015802876674570143,0.0,0.6770809643798404,0.00012263437149360673,2.343824635877974,1.1548318412568834,0.03937638227103485,0.0,0.7011534776952532,0.00010226080816614235,3.612655251513407,1.088755969206492,0.03942182603706088,0.06883422871618879,2.167236802313063,0.029510796587500308,0.0,0.6704381181134118,0.00010811962315023669,0.14503779391700228,1.588639830218421,0.020054849294117754,4.24022565493887,1.0661251187324523,0.023903538915328683,0.07500632074067702,1.6077144238683911,0.017140357962085143,0.0,0.6774963392151727,0.00012160061540069162,0.0,0.6856722739007738,0.0001186159190385499,0.8689096292268496,1.166528590520223,0.020378380108417735,0.0,0.6525949034425947,0.0001216294626323765,0.09955523532888134,1.8571511268615724,0.033409518893394205,1.9605651859458413,1.2828078362676831,0.017487021007885534,0.0,0.6426690955956776,0.0001290380017760779,3.558387059585471,1.0429390721850924,0.054131553699779844,10.385993864947345,1.0060094787014855,0.0802099819191628,1.3506122824953883,1.2612906787130567,0.03295899132370121,0.18277160972356796,0.4319843530044249,0.0,0.25013196791466275,0.7971167363557117,0.0,0.9259151523190828,0.3866692068908201,0.15408177449945976,0.659465043341872,0.5307138234317581,0.8183734716800682,0.6031119641871513,0.0,0.3806358884698716,0.0,0.5922536893054192,0.0,0.5772181825793326,0.9297392996893933,0.0,0.8347286985351833,0.521169955718355,0.9295987265966266,0.0,0.0,0.7729794767459571,0.0,0.9368602073067592,0.6877801404694208,0.0,0.5177545215099386,0.265651868526466,0.7515495000682882
10,0.21805976149108675,0.0,0.6180523349179162,8.14639231571669e-05,5.131945472798814,1.0734308865335254,0.02645527578683363,0.2881071147697301,1.2013688060972425,0.0166466478491202,0.0,0.6984849770863851,9.354938835410091e-05,0.0935593295295934,1.9505640890863207,0.042487338857932225,2.020390187155812,1.227111377980974,0.016388958232063384,19.653051603448187,0.990696660677592,0.02636753704605831,50.90058894983789,1.1480983694394429,0.021046289012560414,2.442173711358428,1.1447508109940423,0.02738390610449844,0.37474746352391436,1.3415663176112704,0.019925539780201184,0.805236723685216,1.407441246509552,0.016027844790369273,75.38883463541667,0.6848145378960504,0.0002773782492214296,1.896889201929582,1.1513806303342184,0.0170172903376321,0.0,0.6767591456572215,0.00010170167208545738,2.1805115639524146,1.1702410009172228,0.0324903564605241,0.0,0.7009178002675375,8.76171209610119e-05,2.6560891087933216,1.0946403675609164,0.03530018235453301,0.06755592177778574,2.1818334738413494,0.029946578299212788,0.0,0.6702981617715623,9.273188463541576e-05,0.13235503004242322,1.6031488630506727,0.019318416559447844,4.306724658702144,1.0715927958488465,0.020862156846043138,0.07707317869083624,1.6240443680021497,0.01798835665686056,0.0,0.67740478515625,0.00010134051780268136,0.0,0.6854334725273981,9.763022600155738e-05,0.8721260752962282,1.1756190949016148,0.020846549896264655,0.0,0.6525262057781219,0.00010531297197707722,0.09472023309334274,1.8740729173024495,0.030374142279227575,1.5904502717444877,1.29154013660219,0.013517227885313333,0.0,0.6425239304701488,0.00011018005089782592,3.1754389405049457,1.0590976503160265,0.04699668859442075,10.221557647803072,1.0202588624424405,0.07878792631543345,1.2209028443309857,1.2722115132543776,0.021893174082247748,0.18396084383130074,0.44103048139691603,0.0,0.2897808325880568,0.7968069856405848,0.0,0.9375388844207242,0.3744585318670327,0.19290638193655824,0.6753976255795833,0.552604987779862,0.7821364155771926,0.6316532619283639,0.0,0.3720701745231872,0.0,0.6109294123180015,0.0,0.6730513979506891,0.9241835376679026,0.0,0.8186593625129378,0.5032054164045351,0.9327535400870488,0.0,0.0,0.7654107950509996,0.0,0.9328117884426479,0.8256576878700846,0.0,0.488129613308809,0.2758786229386346,0.7569501483078748
