epoch,train_loss,train_final_norm_0,train_loss_gd_norm_0,train_final_norm_1,train_loss_gd_norm_1,train_final_norm_2,train_loss_gd_norm_2,train_final_norm_3,train_loss_gd_norm_3,train_final_norm_4,train_loss_gd_norm_4,train_final_norm_5,train_loss_gd_norm_5,train_final_norm_6,train_loss_gd_norm_6,train_final_norm_7,train_loss_gd_norm_7,train_final_norm_8,train_loss_gd_norm_8,train_final_norm_9,train_loss_gd_norm_9,train_final_norm_10,train_loss_gd_norm_10,train_final_norm_11,train_loss_gd_norm_11,train_final_norm_12,train_loss_gd_norm_12,train_final_norm_13,train_loss_gd_norm_13,train_final_norm_14,train_loss_gd_norm_14,train_final_norm_15,train_loss_gd_norm_15,train_final_norm_16,train_loss_gd_norm_16,train_final_norm_17,train_loss_gd_norm_17,train_final_norm_18,train_loss_gd_norm_18,train_final_norm_19,train_loss_gd_norm_19,train_final_norm_20,train_loss_gd_norm_20,train_final_norm_21,train_loss_gd_norm_21,train_final_norm_22,train_loss_gd_norm_22,train_final_norm_23,train_loss_gd_norm_23,train_final_norm_24,train_loss_gd_norm_24,train_final_norm_25,train_loss_gd_norm_25,train_final_norm_26,train_loss_gd_norm_26,train_final_norm_27,train_loss_gd_norm_27,train_final_norm_28,train_loss_gd_norm_28,train_final_norm_29,train_loss_gd_norm_29,train_final_norm_30,train_loss_gd_norm_30,train_final_norm_31,train_loss_gd_norm_31,val_loss,val_mIOU,val_iou_Animal,val_iou_Archway,val_iou_Bicyclist,val_iou_Bridge,val_iou_Building,val_iou_Car,val_iou_CartLuggagePram,val_iou_Child,val_iou_Column_Pole,val_iou_Fence,val_iou_LaneMkgsDriv,val_iou_LaneMkgsNonDriv,val_iou_Misc_Text,val_iou_MotorcycleScooter,val_iou_OtherMoving,val_iou_ParkingBlock,val_iou_Pedestrian,val_iou_Road,val_iou_RoadShoulder,val_iou_Sidewalk,val_iou_SignSymbol,val_iou_Sky,val_iou_SUVPickupTruck,val_iou_TrafficCone,val_iou_TrafficLight,val_iou_Train,val_iou_Tree,val_iou_Truck_Bus,val_iou_Tunnel,val_iou_VegetationMisc,val_iou_Void,val_iou_Wall
1,0.9999999960700234,0.5010574191481203,1.397479592516545e-09,0.5909820310362093,3.393216532998378e-09,0.5560047266247509,2.984350625292673e-11,0.5584236828835456,1.7100829141026342e-09,0.5587230416444632,2.440372149341789e-12,0.6133281418255397,1.0380776119843611e-09,0.5724311091087677,3.037562996462632e-09,0.6075180068120851,5.013540708350487e-09,0.6102641840557476,2.062062767562077e-10,0.5946505102482471,2.954781986279521e-11,0.5799213091095725,5.017570546131115e-11,0.5969976212952163,2.8735712323077937e-09,0.5028458283497736,8.256303616972969e-10,0.6068833542394114,1.5244396939839089e-09,0.5214109381476602,2.0447446917882793e-10,0.5723642615171579,1.6600333982888058e-09,0.6256582147472507,2.5280249890558113e-10,0.5817825361922547,1.4502814919307124e-12,0.5421866433961051,1.8260802697489775e-09,0.5691665142447084,5.065905589554573e-12,0.520300206902263,3.0987528458954276e-09,0.49281438955893886,1.0072020927337866e-11,0.5418838518006461,1.6906974318721844e-09,0.5884164912360055,1.4649466353054133e-09,0.5688198431507572,4.527137632642969e-10,0.5122633772891957,1.7309269814172986e-09,0.5845221503750309,7.200037317348481e-12,0.6019568934545412,6.394725744045976e-10,0.537757376393119,1.6362167634218396e-09,0.586238022688981,1.3703638828084278e-09,0.4814717972671593,2.1568216538918556e-10,0.604787269791404,6.866710631307828e-11,1.0,0.013303110317791906,0.0,0.0003442896310651931,0.05951258641710498,0.0,0.0014120087709255777,0.006879322813859412,4.171881535969469e-05,7.917656436402664e-05,0.005269853660322984,0.0016531326766912953,0.000499971339622372,0.0,0.0015765907775643333,0.0,0.0014055603638370969,0.0,0.0021746711649007736,0.21331195030412814,0.0,0.11541680462163928,0.0,0.0,0.0,0.0,0.003658808419597961,0.0,0.00640845444362183,0.005114640723266565,0.0,0.0009035275479579513,0.0,3.6461113511508754e-05
2,0.9999999960700234,0.5006064916705038,1.3968948096838866e-09,0.590450583578466,3.390983172828805e-09,0.5555043679017287,2.982611738480354e-11,0.5579208508952633,1.7090031012761781e-09,0.5582202135861575,2.4385867304785163e-12,0.6127758497720236,1.0374974003863481e-09,0.5719158086147937,3.0354137018314725e-09,0.606971290740338,5.009321316115614e-09,0.6097149108792399,2.060779596419476e-10,0.5941152042084998,2.952610444181977e-11,0.5793995955488184,5.0135785070600095e-11,0.5964605913057432,2.8720335769262604e-09,0.502393208362244,8.250160293180683e-10,0.6063371628195375,1.5236111182227928e-09,0.5209416386845348,2.0432557488907316e-10,0.5718494915700221,1.658989195255852e-09,0.6250952711472144,2.5262033709933755e-10,0.5812588052435236,1.4491981058884337e-12,0.5416987970635131,1.8249178201862399e-09,0.568654559470795,5.062417885114607e-12,0.5198321683066232,3.0970577044628327e-09,0.49237046398959317,1.006676396222129e-11,0.5413963938807393,1.6896158922524168e-09,0.5878871633456304,1.4642657841729196e-09,0.5683078641419882,4.5251956432623087e-10,0.5118028128540123,1.7297730750817367e-09,0.5839961472448412,7.195164874659541e-12,0.6014155804455935,6.390960697163653e-10,0.537273421392336,1.6351669615402727e-09,0.5857104056484097,1.3695459728135063e-09,0.48103834508539556,2.1558118719283763e-10,0.6042430892095461,6.86312030844281e-11,1.0,0.012876249291318012,0.0,0.0001995463052776579,0.057732061618360364,0.0,0.0014843318919307608,0.007291856986162253,3.9416633974838925e-05,7.911392467653422e-05,0.005441712160612519,0.0018143269351501383,0.00044382751021142676,0.0,0.0015969937834668085,0.0,0.0013593593937341797,0.0,0.0020497037143962144,0.20513768224240833,0.0,0.1122285446888216,0.0,0.0,0.0,0.0,0.0033172979690703173,0.0,0.005698459415171406,0.005147873201542592,0.0,0.0009419751926895706,0.0,3.589375451892835e-05
3,0.9999999960700234,0.5001510545447633,1.396197662673437e-09,0.5899141476704524,3.388486290701619e-09,0.5549989493338616,2.98087912907947e-11,0.5574129937769292,1.7077308717017415e-09,0.5577119994949509,2.436825570340995e-12,0.6122180839161296,1.037015490268234e-09,0.5713954639958811,3.033143905148752e-09,0.6064188951974386,5.006476665776154e-09,0.6091602595297845,2.0595123549947372e-10,0.593574468251113,2.9504291304442813e-11,0.57887262236941,5.0094362762022416e-11,0.5959183161075299,2.8691901853479055e-09,0.5019359117025858,8.243824159639765e-10,0.6057856102566143,1.522635163405221e-09,0.52046745295053,2.0417170495487983e-10,0.571329734482608,1.6577614705268897e-09,0.6245267332255185,2.5243196841437114e-10,0.5807296076973716,1.4481128361938091e-12,0.5412062675088316,1.8235525400445519e-09,0.5681375245471577,5.0589121948328874e-12,0.5193593816442804,3.0953599512610728e-09,0.4919218496306912,1.0061510190139684e-11,0.540903967160445,1.6883425460498227e-09,0.5873522522685292,1.4634573261715204e-09,0.5677906084846664,4.5232076692217345e-10,0.511337555371798,1.7284203439677997e-09,0.5834649506506029,7.190262355487477e-12,0.6008692671964456,6.387644987125009e-10,0.5367847360097445,1.6339341320729446e-09,0.5851772237610031,1.3684306051709382e-09,0.4806003999579084,2.1547717452668365e-10,0.6036934708500956,6.859304777485385e-11,1.0,0.013770262294822828,0.0,0.00034229016375126014,0.059143819362465544,0.0,0.0014187391302360082,0.00665285936539403,4.1701418022107664e-05,9.416195945538567e-05,0.00501649222189834,0.0016210241841552828,0.0006108228517025572,0.0,0.0017304384022004092,0.0,0.0012972621850313392,0.0,0.001838064639204926,0.2262500443088556,0.0,0.11761661286077933,0.0,0.0,0.0,0.0,0.003870638562674538,0.0,0.006978827009409159,0.005196519650753765,0.0,0.00089162546762441,0.0,3.644969071655603e-05
4,0.9999999960700234,0.49969585911258235,1.3955893396050838e-09,0.5893782108694643,3.3862199004820448e-09,0.5544940410079536,2.9790928766910987e-11,0.5569058394694066,1.7066073371335517e-09,0.5572040709820423,2.4350836530048893e-12,0.611661054275848,1.036446614077803e-09,0.5708762715151022,3.0308399540102116e-09,0.6058673269146091,5.003525133900106e-09,0.6086060686425848,2.0581892417487872e-10,0.5930341770360757,2.94821384281451e-11,0.5783460893473782,5.005490096738457e-11,0.5953765937260219,2.8672997834408547e-09,0.5014791455897656,8.238022539771487e-10,0.6052345607306931,1.521775060817778e-09,0.5199936792090699,2.0400626586388175e-10,0.5708103127531953,1.6566767478611098e-09,0.6239587147157271,2.5224207635624935e-10,0.5802010507374019,1.447027639176473e-12,0.5407139783377176,1.8223441142858259e-09,0.5676208701762524,5.05543275177519e-12,0.5188867633159344,3.0936206223420848e-09,0.49147421907592603,1.0056140811129286e-11,0.5404119131329296,1.6872171895263479e-09,0.5868176346296793,1.4627488661714535e-09,0.567273722245143,4.5211450692835137e-10,0.5108725232082408,1.7272228784588754e-09,0.5829346579509777,7.185314933665439e-12,0.600323308300186,6.383824700547084e-10,0.5362965294292995,1.6328447342702083e-09,0.5846447741592323,1.367494687008676e-09,0.48016311342899615,2.1537319289492325e-10,0.6031441695087558,6.855592295774447e-11,1.0,0.012555237225647085,0.0,0.0002699122304972095,0.05586518465813015,0.0,0.0014839808989461011,0.00753915063027818,3.8865138122289696e-05,0.0,0.005407105267127175,0.0018807430711310733,0.0005206779664960122,0.0,0.0016060695130035013,0.0,0.0013763442082329054,0.0,0.0019774651447476968,0.20041310181087607,0.0,0.10834497834836077,0.0,0.0,0.0,0.0,0.0033581127921813794,0.0,0.00561456281862258,0.005122225623511162,0.0,0.0009041955416524423,0.0,4.4915558789898995e-05
5,0.9999999960700234,0.4994432785353818,1.3952441407660955e-09,0.5890809140362583,3.3849780748531476e-09,0.5542138926275484,2.978116077730396e-11,0.5566248232191735,1.7059705771054518e-09,0.5569223899107713,2.4340675041773377e-12,0.6113521803866376,1.0361274460417855e-09,0.5705880489978161,3.029698087189334e-09,0.605561355968098,5.0008120202835514e-09,0.6082988715433812,2.0574202514133976e-10,0.5927343591228946,2.9469845748679186e-11,0.5780540868476197,5.003130083607261e-11,0.5950759891625289,2.8663299857859744e-09,0.501225851394318,8.234364976355735e-10,0.6049291360509265,1.5212883747295224e-09,0.5197309098400913,2.0391266666650246e-10,0.5705220142563621,1.6560629869874835e-09,0.6236437087530619,2.521396881919105e-10,0.5799081201081747,1.446424018552674e-12,0.5404411921134362,1.8216602525883968e-09,0.5673345288077554,5.053438656162349e-12,0.5186246011283372,3.092596217422219e-09,0.49122610688209534,1.0053137866586379e-11,0.5401390699239877,1.6865811114923918e-09,0.5865213294605632,1.4623467447644627e-09,0.5669870815434299,4.5199833996982015e-10,0.5106145372757545,1.7265450882173607e-09,0.5826406799829923,7.1825758910799e-12,0.6000205880993015,6.381779550783258e-10,0.5360258463974837,1.6322273842346473e-09,0.584349974171146,1.3670377218805457e-09,0.4799208588652558,2.153084694088898e-10,0.6028391620615027,6.853527923368218e-11,1.0,0.013776576017060643,0.0,0.0003457683361347698,0.05956366546047605,0.0,0.0013804463877200891,0.006527997542071037,4.149377610578331e-05,7.680491610449244e-05,0.004992350986226131,0.00157743257516261,0.0006149949755779899,0.0,0.0016197870678593413,0.0,0.0013659630559687205,0.0,0.001825373304639575,0.2257500806263784,0.0,0.11783898439861609,0.0,0.0,0.0,0.0,0.003983604081179646,0.0,0.007229694645997613,0.005246981829355117,0.0,0.0008415296460911155,0.0,2.7478934276002188e-05
6,0.9999999960700234,0.49939775139420894,1.395184650197336e-09,0.5890273124307066,3.3847550830510787e-09,0.5541632568443214,2.9779374069312385e-11,0.5565745241039401,1.7058607884010726e-09,0.5568710847215338,2.433880099236108e-12,0.6112965234033354,1.0360644479098151e-09,0.5705356565150586,3.0294753927684326e-09,0.6055060546476763,5.000510461749608e-09,0.6082438106065268,2.057283541859464e-10,0.5926797959830735,2.9467593667755117e-11,0.5780015253758692,5.0026977171249005e-11,0.595021441087618,2.866181332413091e-09,0.5011802066813459,8.23367732053212e-10,0.6048745375413161,1.5212046625409373e-09,0.51968373636623,2.0389688735488443e-10,0.57046984905725,1.6559576521379716e-09,0.6235871131603534,2.5212128761780577e-10,0.5798556012111705,1.4463129450186802e-12,0.5403925468633463,1.8215431559324598e-09,0.5672832819131705,5.0530779766510615e-12,0.5185772829003387,3.0924133586574587e-09,0.4911813785086621,1.0052587277745986e-11,0.5400902059052016,1.6864728711526237e-09,0.5864680324281965,1.4622775292215196e-09,0.5669353859765189,4.519762322725844e-10,0.5105680161780053,1.7264292451374214e-09,0.5825879272523817,7.182077810984722e-12,0.5999663714524154,6.381392430654875e-10,0.5359771559526633,1.6321206275981492e-09,0.5842976786278107,1.3669570332196647e-09,0.47987736679695464,2.1529717696907382e-10,0.6027835777827671,6.853154506983408e-11,1.0,0.013728664083879068,0.0,0.00033938052357991534,0.05963768619000527,0.0,0.0014313121343048556,0.0065916704669285635,4.164931295980555e-05,9.661835842143342e-05,0.005093291905467698,0.0016977313155170676,0.0006382168150891297,0.0,0.0014874988899064156,0.0,0.0013423157407310778,0.0,0.0018848878615793803,0.22493820029641526,0.0,0.11725254825619136,0.0,0.0,0.0,0.0,0.0038707639275359362,0.0,0.006858509699465755,0.005208862178406647,0.0,0.0008696709985299585,0.0,3.643581309460935e-05
7,0.9999999960700234,0.4993522308029971,1.3951195063363345e-09,0.5889737193401043,3.3845246922530644e-09,0.5541126282660516,2.9777580660713104e-11,0.5565242348136482,1.7057413148308415e-09,0.5568197893572377,2.433695426246067e-12,0.6112408677300254,1.0360123707008931e-09,0.5704833059520512,3.029238421001437e-09,0.6054507513622661,5.000251444887925e-09,0.608188754254645,2.057146619944876e-10,0.5926252282582797,2.946536782690649e-11,0.5779489743840563,5.002288585452526e-11,0.5949668812227773,2.8659543622610163e-09,0.5011345685183347,8.233109145598889e-10,0.6048199416516902,1.5211136666487972e-09,0.519636563547365,2.0387964927426339e-10,0.5704176818931496,1.655843300081454e-09,0.6235305175676451,2.521005950164798e-10,0.5798030855891468,1.446201654644252e-12,0.540343892443311,1.8214163045642225e-09,0.5672320887282655,5.052720892878407e-12,0.5185299699123089,3.0922348053619887e-09,0.49113664686024844,1.0052046520593864e-11,0.5400413425414117,1.6863554517999944e-09,0.5864147314658532,1.4622018789601288e-09,0.5668836838596469,4.519551734921019e-10,0.5105214963902484,1.7263038215037934e-09,0.5825351823817243,7.181579583152105e-12,0.5999121652854668,6.381019141038319e-10,0.5359284661628387,1.6320046184422657e-09,0.5842453752245221,1.3668532937819896e-09,0.4798338737461593,2.1528590837693995e-10,0.60272799546902,6.852780742700758e-11,1.0,0.013842585637868532,0.0,0.0003458062928550522,0.05904875253224011,0.0,0.0014234701277627785,0.006620381727416596,4.071661254363442e-05,9.469697059372131e-05,0.005071620536552484,0.0016366177603444228,0.0005676488432953511,0.0,0.001709155257795455,0.0,0.0012656146790545233,0.0,0.0017450411904232663,0.22897051182535394,0.0,0.11753796900508844,0.0,0.0,0.0,0.0,0.003836467112374718,0.0,0.00695002828241245,0.005187502925116166,0.0,0.0008743062973018106,0.0,3.643243326818063e-05
8,0.9999999960700234,0.49932693812873336,1.3950749856305312e-09,0.5889439864473028,3.384376045895326e-09,0.5540845806782062,2.977659889300873e-11,0.5564963025051158,1.7056611765538747e-09,0.5567914005164262,2.433592419891095e-12,0.6112100023489732,1.0359776200244268e-09,0.5704544573039799,3.0291029416142654e-09,0.6054201171948359,4.999968334661576e-09,0.6081581764168792,2.0570709139435793e-10,0.5925949412387806,2.946406101777366e-11,0.5779199731218946,5.002047469373958e-11,0.594936816901951,2.8657962761100088e-09,0.5011094402480911,8.232730737213676e-10,0.6047897509166172,1.5210521079846482e-09,0.5196105241775513,2.0387054106099553e-10,0.5703889039846567,1.6557662002775015e-09,0.6234990797200046,2.5209075757121365e-10,0.5797740011424809,1.4461393523365556e-12,0.5403169255990249,1.8213315442213998e-09,0.5672036828575554,5.0525195767893025e-12,0.5185036357942518,3.092125742572664e-09,0.4911119119151608,1.005172358561535e-11,0.5400142866176564,1.6862763124187435e-09,0.5863853313110687,1.4621497019855441e-09,0.5668551895644639,4.519429618775984e-10,0.5104957078839396,1.7262200957424268e-09,0.5825059623508663,7.181290694504669e-12,0.599882158604297,6.380790502196637e-10,0.5359016119778811,1.6319269193008836e-09,0.5842164597668491,1.3667877792620511e-09,0.47980980787958416,2.1527949762055146e-10,0.6026973698165391,6.85256006109285e-11,1.0,0.012946087421670397,0.0,0.00039542934491386807,0.05655170425822966,0.0,0.0014240702326231607,0.007434583297688575,4.0273862425589465e-05,0.00024874751059737396,0.005374267910560163,0.0018840619520396657,0.0005256741883435995,0.0,0.0015144751864808845,0.0,0.0012697337159154063,0.0,0.0019808375745717912,0.20701236488394398,0.0,0.11336664357889356,0.0,0.0,0.0,0.0,0.003372900769535653,0.0,0.005867814800914911,0.005060293077573683,0.0,0.0009060178905946124,0.0,4.490345760655901e-05
9,0.9999999960700234,0.4993223148387867,1.3950672749181207e-09,0.58893865608907,3.384350228634909e-09,0.5540796203927679,2.9776448324729884e-11,0.5564912452802553,1.7056473872179012e-09,0.5567864349910191,2.4335666968966952e-12,0.6112044846618568,1.0359682853153678e-09,0.5704495592431708,3.0290829461620848e-09,0.6054147318169311,4.999919590990694e-09,0.6081526207399892,2.0570547459395253e-10,0.5925894536814846,2.946377675187835e-11,0.5779150567211948,5.001987308782553e-11,0.5949317714670203,2.8657800014299926e-09,0.5011053216326368,8.232631176286408e-10,0.6047845116028419,1.5210408965621375e-09,0.5196060774090526,2.0386810219229146e-10,0.5703840353986719,1.6557523478052186e-09,0.6234933491591569,2.5208891373172474e-10,0.5797688843129756,1.446127059151923e-12,0.540312125132634,1.8213169408235438e-09,0.5671985503081437,5.052471879042299e-12,0.5184987527983529,3.0921077845627374e-09,0.4911076233282194,1.0051628714350965e-11,0.5400095202110626,1.686261965226201e-09,0.5863803422058022,1.4621393153001373e-09,0.5668504133329286,4.519407137522251e-10,0.510491111776331,1.7262060067377386e-09,0.5825007891916967,7.181226981542718e-12,0.599876901605627,6.380744447766527e-10,0.5358970787498977,1.631913419415913e-09,0.584211439876766,1.3667767410068815e-09,0.4798055988746685,2.1527823754410655e-10,0.6026922523320376,6.85250910692675e-11,1.0,0.014122252029730623,0.0,0.0003398146576350793,0.05961215445573089,0.0,0.0014423883944570056,0.006570896701824409,0.00011789851260909638,9.025270839578257e-05,0.005102228042822476,0.0016935454479341245,0.0007304953443104655,0.0,0.0017306574255505195,0.0,0.0013461857912513637,0.0,0.0014788320638338018,0.23404993774073252,0.0,0.12014125726691445,0.0,0.0,0.0,0.0,0.0040048642151277744,0.0,0.007283557912329075,0.0052487489423233185,0.0,0.0008919383831121677,0.0,3.6410944485597295e-05
10,0.9999999960700234,0.4993176696064708,1.3950579054288094e-09,0.5889333257308373,3.3843199390667416e-09,0.5540746548673608,2.977629067458542e-11,0.5564861808504377,1.705630750800383e-09,0.556781468810616,2.433542865894658e-12,0.6111989676297366,1.0359586473251756e-09,0.5704446585623772,3.0290606610274195e-09,0.6054093300641238,4.999878036623909e-09,0.6081470683380797,2.0570400038400426e-10,0.5925839752941341,2.946348288781523e-11,0.5779101442504715,5.001929200311831e-11,0.5949267273420816,2.8657559963646576e-09,0.5011012062921629,8.232544583465582e-10,0.6047792709790744,1.5210275493328328e-09,0.5196016398104992,2.0386579767887376e-10,0.5703791635377067,1.6557356630441978e-09,0.6234876212182936,2.520871893975267e-10,0.5797637609335092,1.4461147754987381e-12,0.5403073102563292,1.8212995595805787e-09,0.5671934203787165,5.052425992270353e-12,0.5184938684924618,3.092091605502204e-09,0.4911033285188151,1.0051534686619698e-11,0.5400047472545079,1.6862449095774883e-09,0.5863753635804732,1.4621267935704525e-09,0.5668456312064286,4.5193838117822543e-10,0.5104865176337106,1.7261892080568551e-09,0.5824956153775309,7.181161900818026e-12,0.5998716387119922,6.3806987059679e-10,0.5358925540368635,1.63189730257667e-09,0.5842064167117025,1.366762334948118e-09,0.4798013875772665,2.1527707158117596e-10,0.6026871374675206,6.852458394859421e-11,1.0,0.013705851370711463,0.0,0.0002837569946250451,0.060652216857848704,0.0,0.001436136364087055,0.00657943877579348,4.3252595342788047e-05,7.898894217210854e-05,0.005074505665754581,0.0016206056160204172,0.0006585653009852094,0.0,0.0016552626370290476,0.0,0.0013594982512185557,0.0,0.0018977002204588606,0.2221636528321902,0.0,0.11816999625153508,0.0,0.0,0.0,0.0,0.0038649401739075315,0.0,0.00686446561020178,0.0052328050259839425,0.0,0.0009150232557211685,0.0,3.643249189132402e-05
