epoch,train_loss,train_final_norm_0,train_loss_gd_norm_0,train_final_norm_1,train_loss_gd_norm_1,train_final_norm_2,train_loss_gd_norm_2,train_final_norm_3,train_loss_gd_norm_3,train_final_norm_4,train_loss_gd_norm_4,train_final_norm_5,train_loss_gd_norm_5,train_final_norm_6,train_loss_gd_norm_6,train_final_norm_7,train_loss_gd_norm_7,train_final_norm_8,train_loss_gd_norm_8,train_final_norm_9,train_loss_gd_norm_9,train_final_norm_10,train_loss_gd_norm_10,train_final_norm_11,train_loss_gd_norm_11,train_final_norm_12,train_loss_gd_norm_12,train_final_norm_13,train_loss_gd_norm_13,train_final_norm_14,train_loss_gd_norm_14,train_final_norm_15,train_loss_gd_norm_15,train_final_norm_16,train_loss_gd_norm_16,train_final_norm_17,train_loss_gd_norm_17,train_final_norm_18,train_loss_gd_norm_18,train_final_norm_19,train_loss_gd_norm_19,train_final_norm_20,train_loss_gd_norm_20,train_final_norm_21,train_loss_gd_norm_21,train_final_norm_22,train_loss_gd_norm_22,train_final_norm_23,train_loss_gd_norm_23,train_final_norm_24,train_loss_gd_norm_24,train_final_norm_25,train_loss_gd_norm_25,train_final_norm_26,train_loss_gd_norm_26,train_final_norm_27,train_loss_gd_norm_27,train_final_norm_28,train_loss_gd_norm_28,train_final_norm_29,train_loss_gd_norm_29,train_final_norm_30,train_loss_gd_norm_30,train_final_norm_31,train_loss_gd_norm_31,val_loss,val_mIOU,val_iou_Animal,val_iou_Archway,val_iou_Bicyclist,val_iou_Bridge,val_iou_Building,val_iou_Car,val_iou_CartLuggagePram,val_iou_Child,val_iou_Column_Pole,val_iou_Fence,val_iou_LaneMkgsDriv,val_iou_LaneMkgsNonDriv,val_iou_Misc_Text,val_iou_MotorcycleScooter,val_iou_OtherMoving,val_iou_ParkingBlock,val_iou_Pedestrian,val_iou_Road,val_iou_RoadShoulder,val_iou_Sidewalk,val_iou_SignSymbol,val_iou_Sky,val_iou_SUVPickupTruck,val_iou_TrafficCone,val_iou_TrafficLight,val_iou_Train,val_iou_Tree,val_iou_Truck_Bus,val_iou_Tunnel,val_iou_VegetationMisc,val_iou_Void,val_iou_Wall
1,1.2584186686409844,0.5208381083276536,0.01781438889188899,0.5956258886390262,0.02234032220310635,0.5667829149299197,0.049733306467533114,0.5802050517665015,0.021118157755376565,1.0424015859762827,0.28120594430300927,0.5683020532131196,0.056752289003796044,0.594574507077535,0.023473018671696384,0.6233826968404982,0.01878294695634395,0.6010978745089637,0.02570877300782336,0.6605628477202521,0.06575756031605932,0.6048404574394226,0.04201877151305477,0.5981075869666206,0.025518733599326677,0.5133150021235148,0.02270068402091662,0.6108659538957808,0.01963719252186517,0.5018371846940782,0.027136918056445816,0.5903827514913347,0.022502989461645483,0.6295186499754588,0.025772057489181557,1.1821528262562222,0.2592807867874702,0.5529509299331241,0.02620416417097052,0.8604539798365699,0.13493316527456045,0.5412249333328671,0.019823170360177757,0.8526547369029787,0.15116492493285072,0.5589154673947229,0.022606950832737817,0.597011825773451,0.019059597881924774,0.5638124605019887,0.02649023810453299,0.5288212888770634,0.023337510771428545,1.0441796945201025,0.16597550018794008,0.6015488114621904,0.02470065469129218,0.5493212050861782,0.020317387068644166,0.5751845015419854,0.030821454457731712,0.47077832884258697,0.022683913483180933,0.5878238499164581,0.030599213174233832,1.4501968145370483,0.08540114536202595,0.0,0.0,0.0,0.0,0.30366835788068874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7253457558752848,0.0,0.29576080108458924,0.0,0.9056695031965137,0.0,0.0,0.0,0.0,0.5023922335477534,0.0,0.0,0.0,0.0,0.0
2,0.513518547349506,0.5438537855943044,0.004568740924716824,0.6098038130336337,0.00425111539920585,0.758335448635949,0.04061090521928337,0.6100392229027218,0.004395894108650585,1.3303884572452969,0.10270681025253402,0.6071854756938087,0.054045867267996074,0.6201461699273851,0.005937097379420366,0.6426596442858378,0.0037834671584682333,0.5922804044352638,0.013400488703822096,0.9148995379606882,0.052357313450839785,0.8253272665871514,0.045193215345756876,0.6127340634663899,0.005008036262976626,0.5205602533287472,0.008602703877517746,0.6252900878588359,0.00423401501805832,0.5155141128434075,0.016973832316903605,0.616922840807173,0.004747886376248465,0.6434916873772939,0.024001497599399752,1.5500204589631823,0.06542481471680933,0.5763022462526958,0.005436654632083244,1.1293200996186998,0.04884226905802886,0.564600693517261,0.004641407226315803,1.187554947535197,0.021981796606754263,0.5837330553266737,0.005966622558318906,0.6167537086539798,0.0035737445577979088,0.5638022674454584,0.01377807261629237,0.5587474743525187,0.004440879340594014,1.346217676003774,0.04489161152806547,0.611026081111696,0.008616206311206851,0.5705954962306552,0.004141776734549138,0.5854238344563378,0.007541176167109774,0.4436925447649426,0.0219015208667972,0.6149245255523258,0.027991671125508016,0.5252022683620453,0.17604936767716017,0.0,0.0,0.4675782815403459,0.0,0.8030062953577761,0.032954096248355394,0.0,0.0,0.0,0.3851812250037564,0.5121335708180814,0.0,0.0,0.0,0.0,0.0,0.0,0.8961277806232095,0.0,0.7055553509211426,0.0,0.913385742981353,0.0,0.0,0.0,0.0,0.9176574221751054,0.0,0.0,0.0,0.0,0.0
3,0.3671876758337021,0.5539912283420563,0.0028620151427781416,0.6174302127626207,0.0027323659082564215,0.8218726416428884,0.03780974434274766,0.6238917562696669,0.002646884068639742,1.444253965218862,0.05915421965635485,0.7397354344526926,0.0728268998571568,0.6306031710571713,0.003535374018570615,0.6514102869563633,0.003240153593166421,0.5952974345948961,0.013958992208871576,0.9762289192941453,0.03371911249640915,1.0021699786186218,0.026660330733284353,0.6228377752833896,0.0029093055132155617,0.5213701930310991,0.008086818813656768,0.6326400849554273,0.0029857950103986597,0.5614508695072598,0.018358382732710905,0.6298188315497504,0.002797268689351363,0.687271867858039,0.02509159681180285,1.6563429792722066,0.05468651632674866,0.5893164085017311,0.003063908559528904,1.21639883518219,0.03969524379612671,0.5732664975855085,0.003059839851792074,1.2741657627953424,0.020788678583792516,0.5943115618493822,0.004040721643509136,0.6279691338539124,0.0021213462796165713,0.5668558657169342,0.013268136512488126,0.5742068529129029,0.002567570752257274,1.4349602142969766,0.03221925910976198,0.627025043964386,0.011670398456044496,0.5819606416755252,0.002403824125778758,0.5920905643039279,0.005290038749161694,0.45400771730475953,0.02380639347765181,0.7433904316690233,0.031264538478313224,0.4161185443401337,0.208455204901104,0.0,0.0,0.5227974469065035,0.0,0.8956645505895453,0.1752436888145015,0.0,0.0,0.0,0.6513262813594449,0.5750649667512578,0.0,0.0,0.0,0.0,0.0,0.0,0.905308252829603,0.0,0.7388146298410169,0.0,0.9325326733811876,0.0,0.0,0.0,0.0,0.9127921709267237,0.0,0.0,0.0,0.0,0.3610218954355422
4,0.2898743814892239,0.561016258266237,0.0019517674395400618,0.6219927827517192,0.0018447413477891436,0.8836479643980663,0.027922694954193302,0.6329826785458459,0.0017728753517278367,1.5193343056572808,0.04428328000422981,0.8056013531155056,0.06018654193936123,0.6373668750127156,0.0022469811322581436,0.6558026181326972,0.00289869793664871,0.6159159534507328,0.01349409709736291,1.0422676338089838,0.02922722664144304,1.065540455447303,0.022091713061349258,0.6301276418897841,0.0020158421403417984,0.5231599006387923,0.008689826420353104,0.6373420159022013,0.002047266808545424,0.6458038343323602,0.02302394014162322,0.6384238799413046,0.0018959195779946942,0.7509661051962111,0.023259367550619775,1.7216399457719591,0.03537715037042896,0.5983297897709741,0.0019778527047795555,1.2746434635586208,0.02445082485468851,0.5778313888443841,0.0023484270444088097,1.3298069079717,0.018429005200353763,0.6016298545731439,0.002830156295870741,0.6351313372453053,0.0015552781399391178,0.5885189261701372,0.014841781243578427,0.5843531999323103,0.0018023054011993937,1.4950766417715284,0.029985365023215613,0.650334025753869,0.013241415990826984,0.5896171596315172,0.0016258469058407676,0.5951183981365628,0.004971761985992392,0.514876753422949,0.023302883530656498,0.8641550534301334,0.02894135366918312,0.32202143371105196,0.22684798266083592,0.0,0.0,0.6556737701456802,0.0,0.8991860805341446,0.25866617024848626,0.0,0.0,0.0,0.7778739569343328,0.614610670786895,0.0,0.0,0.0,0.019393652498727314,0.0,0.056002103448526665,0.908941218881256,0.0,0.7865097601089599,0.0,0.9376648565981759,0.0,0.0,0.0,0.0,0.8987791243278677,0.0,0.0,0.0,0.0,0.4458340806336972
5,0.23210983657174641,0.5661764257484012,0.0013714264282801499,0.6249416689078013,0.001196240075579327,0.9217223677370283,0.024144305045612983,0.6392426636483934,0.0012785071972757577,1.5930245147811042,0.03087536980294519,0.8519555535581377,0.04356615807240208,0.642095551888148,0.001528451417107135,0.6577225830819872,0.002721764200962045,0.6521312985155318,0.01346054766068442,1.0980568342738681,0.02245473072139753,1.1086703777313232,0.019695496799734733,0.6352871020634969,0.0014449031816588507,0.5291145139270359,0.008458271607135732,0.6409941176573436,0.0014325697356576306,0.7296355207761128,0.020969873630545206,0.6443648199240367,0.0013449227236883921,0.8193782521618738,0.021144779642216033,1.7736206385824416,0.030821102443668577,0.6045029123624166,0.001387153128032676,1.325925640265147,0.01997040536047684,0.5798119611210293,0.001996839340750335,1.3710400528377957,0.01906092345662829,0.6071161773469713,0.0019504953641444444,0.6399005095163981,0.0012297410880111985,0.6394858446386126,0.0172130036374761,0.5913276917404598,0.0012856834723303716,1.5396324899461535,0.02997544640675187,0.6714014695750342,0.011670315379483832,0.5949688262409634,0.0011439314422508082,0.5967986007531484,0.004622208490036428,0.596745992369122,0.022543514933851032,0.930939300192727,0.02365864887316194,0.2839037343859673,0.26641750108712203,0.0,0.0,0.8003426287356115,0.0,0.8888269145807886,0.2597438278982803,0.0,0.0,0.0,0.786015854390224,0.5949747396096532,0.0,0.0,0.0,0.4167095238126632,0.0,0.4590960031360714,0.9167959695864475,0.0,0.7869849308196625,0.0,0.93378208537178,0.0,0.0,0.0,0.0,0.9071859992789681,0.0,0.0,0.0,0.06915491934009947,0.7057466382276545
6,0.20019987026850383,0.569979280895657,0.0009055433426207552,0.626209729247623,0.0012292989659019643,0.955076625612047,0.019189388630911706,0.643650906615787,0.0009312863416400635,1.6560426301426359,0.030051942500803206,0.8692258126205868,0.04008556750809981,0.6448329534795549,0.001208415436041024,0.660014048549864,0.0036134500457491313,0.702023223373625,0.01435722544685834,1.139222498734792,0.02109852630334596,1.1418269515037536,0.016140556645890078,0.6390008409818013,0.0010630063350415891,0.5417668415440453,0.00920733594102785,0.6436269693904453,0.001046467285292844,0.7877174668841892,0.01968094297270808,0.6485274573167165,0.0011066121152705616,0.8721372008323669,0.01805719663389027,1.8203342080116272,0.0268433955963701,0.6088974959320492,0.0009624315277000682,1.3640606390105354,0.018548083915892574,0.5800578547848596,0.002319467210650651,1.4029338969124687,0.017703969163509706,0.6112019095155928,0.0015122406520984239,0.6432178205913968,0.0010000530429857058,0.7262447006172604,0.020902718262126047,0.5962484730614557,0.0009413168002437387,1.5760381076070997,0.026369814253929588,0.7005136085881127,0.01277288689226326,0.5986915442678663,0.000851732277078554,0.5981534136666192,0.005498073814022873,0.6583903849124908,0.025933898649074964,0.9819735083315108,0.019629864032483763,0.26324842423200606,0.2961018307312583,0.0,0.0,0.8339219473821696,0.0,0.9165736162290103,0.27565690945995414,0.0,0.0,0.0,0.8035060666816299,0.6397935562561402,0.0,0.0,0.0,0.4995819261872006,0.0,0.6076513801062836,0.899122680129533,0.0,0.7660360733089037,0.0,0.9309540872953447,0.0,0.0,0.5022845882931432,0.0,0.9209341025756087,0.0,0.0,0.0,0.19164013354760862,0.6876015159477353
7,0.1722552024655872,0.5726137108272976,0.0006354850011929456,0.6254975842105017,0.0015806404860793715,0.9872636510266198,0.013612817207144367,0.6466391808456845,0.0006906810384761128,1.7056719091203478,0.03097658600244257,0.9047314643859863,0.02791873478434152,0.6459498120678796,0.0010433460107176669,0.6647575093640221,0.004790573406110828,0.7601965016788906,0.014111814834177495,1.1752960522969564,0.015779023074234524,1.1698009424739413,0.016672227852460413,0.641534396674898,0.0007416328589897603,0.5630259652932484,0.010013382700142555,0.6454102509551578,0.0007765153659016101,0.8282364706198374,0.015615599281671975,0.6513124015596178,0.0008662168479834993,0.8981192595428891,0.013701477921050456,1.8623363693555197,0.026378950466298394,0.6118670284748078,0.0006757931699717624,1.398020499282413,0.016681060960723294,0.579801799191369,0.002424639071816475,1.4352221727371215,0.016670751569068266,0.6140281677246093,0.0011907507587845126,0.6454428805245294,0.000747833528698215,0.797554161813524,0.016259830041478077,0.5995999256769816,0.0007050077091359223,1.6109384801652697,0.025385182671662836,0.7375252723693848,0.013883425864494509,0.6011441210905711,0.0006483321026381519,0.6021253877215915,0.006232780654035095,0.6859486838181813,0.027648161279244556,1.0244514173931545,0.015190680808801618,0.21593865007162094,0.3224936388795487,0.0,0.0,0.8514348266850009,0.0,0.9320519764171339,0.2748037868409659,0.0,0.0,0.009104575025290735,0.8391523459683317,0.6486065946539751,0.0,0.0,0.0,0.5960149142159203,0.0,0.6176434629612849,0.9327437526340028,0.0,0.8266937289152704,0.0,0.913320246681088,0.0,0.0,0.7399864684801105,0.0,0.9241122598116018,0.21748584528677303,0.0,0.0,0.25265323337251555,0.7439884261962921
8,0.15753776149617302,0.5744980964395735,0.000492237266088422,0.623438976208369,0.0016722338810925268,1.017803634537591,0.012128115732533236,0.6487607684400346,0.0005781823449069635,1.7502143475744458,0.030752782606416278,0.9460492736763424,0.019827682436961265,0.6463466637664371,0.0010335719199954635,0.673344471057256,0.0051421883237910354,0.8190747360388438,0.013830540543939505,1.2029280106226603,0.016429292656377787,1.1919326848453946,0.016576744670358797,0.6433204107814365,0.0005873043332636978,0.597371945116255,0.010457273389652579,0.646626181072659,0.0006124021401370151,0.8569358309110006,0.013358279910042055,0.6532564050621457,0.0007261323412725081,0.9179503175947401,0.012397862719889316,1.8952548437648349,0.024202937756975493,0.6139537579483456,0.0005359222388101949,1.426250323984358,0.017026114080929095,0.5809462957912022,0.0025135230893890063,1.460506378279792,0.016701048312501774,0.6160621451006996,0.000982016667128644,0.6470213870207469,0.0006147757926050366,0.8368313743008507,0.012400675277846555,0.6020069923665788,0.0005767846140467251,1.6406311260329351,0.02466346359708243,0.7755634605884552,0.012171537731774151,0.6028729538122813,0.000538666302842709,0.6089630232916938,0.006530412151995632,0.6967191331916385,0.028421561637272438,1.0521465261777243,0.013989315300972926,0.22861517518758773,0.33469959390272064,0.0,0.0,0.7745374824096436,0.0,0.919692975471313,0.26797775224055026,0.0,0.0,0.11298020593723657,0.839241836150937,0.6540358867789557,0.0,0.0,0.0,0.5821644995060425,0.0,0.6378648224136576,0.9125279835156098,0.0,0.7929915476803583,0.0,0.9409170221658686,0.0,0.0,0.7569505284995348,0.0,0.920537203411796,0.5702177513942414,0.0,0.0,0.2900454755735106,0.7377040317378026
9,0.15048451556099784,0.5759084575706058,0.0003916966192062116,0.6208711783091228,0.001828566777920868,1.0412702242533365,0.015631806913815025,0.6503259837627411,0.0004966179238787542,1.7851166115866768,0.03238079830383261,0.9731894936826494,0.017948327236808836,0.645666648944219,0.0009414419929574554,0.6859259506066641,0.00528508164635342,0.8635914862155915,0.013513301618190275,1.2324961794747247,0.015909099578857423,1.2109104050530328,0.013680849529595838,0.6446077366669972,0.00047640141338989555,0.6389795806672838,0.013354689880765767,0.6474814818965065,0.0004931985235695417,0.884135424428516,0.012787514487798843,0.6546336167388492,0.0006339119663203342,0.9369286179542542,0.01372672325362348,1.9240520728958979,0.024816891820066505,0.6154939267370436,0.00043795605468201557,1.4495313432481554,0.016061440229208933,0.5835142188602024,0.0028138267872337666,1.4831344591246711,0.015850876939172545,0.6175789243645138,0.0008341378409467224,0.6481671770413716,0.0004937713703839109,0.8659399979644351,0.010258938674815,0.6038081241978539,0.00047911464870493444,1.6685766471756829,0.026312135418670043,0.8091314408514235,0.010914278462425701,0.6041450911098056,0.0004409033391210768,0.619046272834142,0.007158844636028839,0.7014911903275384,0.02946720403722591,1.0791425638728671,0.012972345689518584,0.4284609884023666,0.26751178609616727,0.0,0.0,0.6114265949546235,0.0,0.8598409552518633,0.04708474582575314,0.0,0.0,0.21458015928625263,0.6952043082393093,0.5248795044819532,0.0,0.0015509582244486334,0.0,0.3000540427201798,0.0,0.3811067949827672,0.8773081927684364,0.0,0.7576098593362431,0.0,0.8912268914107736,0.0,0.0,0.5615753162250856,0.0,0.9241055910526244,0.10410589866810675,0.0,0.0,0.1871636474408221,0.6215536942081117
10,0.1680942424469524,0.5770875500308142,0.00036071998830367296,0.6177048352029588,0.002095829815435637,1.052997632821401,0.019174806954753067,0.6516530606481764,0.0004534825986613416,1.8131847898165385,0.03945646357412139,1.0021612339549595,0.02112309147293369,0.6451715257432725,0.00090288738720119,0.7008216169145373,0.005279708626524856,0.893347884549035,0.013753110356628895,1.2533005370034112,0.020326610897771186,1.2270712018013001,0.013901678146794438,0.6456506656275856,0.0004617671634251666,0.6939619733227624,0.013960133956020904,0.6482140441735585,0.00043730863431442734,0.9017085035641988,0.014122986550339394,0.655776074859831,0.0005809993224425448,0.9475544313589732,0.01921335102783309,1.9450544370545282,0.02648121307914456,0.6167801638444265,0.0004099135209495823,1.465576050016615,0.02160085632155339,0.5880881567796071,0.003470024316144797,1.5010472708278233,0.017269028156685334,0.6189298292001089,0.0007159257556648097,0.6491303046544393,0.00043438777114109445,0.8847689668337504,0.013082588280344174,0.6053446769714356,0.00043398674913785524,1.6915883051024543,0.02724266913202074,0.8291885693868001,0.01179685909818444,0.6052110996511247,0.0004115458225391598,0.6304848975605435,0.008062045889285703,0.7003910733593834,0.0304167908254183,1.1004715455902947,0.016646098386910228,0.17984993010759354,0.351833318731675,0.0,0.0,0.86710766081193,0.0,0.9416495492190482,0.2798026535424691,0.0,0.0,0.25346700797591404,0.8343351637335774,0.6513993966739341,0.0,0.09528079064319338,0.0,0.5653890061111106,0.0,0.7242022449444313,0.9379732749892234,0.0,0.8536102451015216,0.0,0.937909447186866,0.0,0.0,0.781598548443831,0.0,0.9393242059297666,0.5382231678555721,0.0,0.0,0.2982924122349647,0.7591014240162461
