epoch,train_loss,val_loss,val_mIOU,val_iou_Animal,val_iou_Archway,val_iou_Bicyclist,val_iou_Bridge,val_iou_Building,val_iou_Car,val_iou_CartLuggagePram,val_iou_Child,val_iou_Column_Pole,val_iou_Fence,val_iou_LaneMkgsDriv,val_iou_LaneMkgsNonDriv,val_iou_Misc_Text,val_iou_MotorcycleScooter,val_iou_OtherMoving,val_iou_ParkingBlock,val_iou_Pedestrian,val_iou_Road,val_iou_RoadShoulder,val_iou_Sidewalk,val_iou_SignSymbol,val_iou_Sky,val_iou_SUVPickupTruck,val_iou_TrafficCone,val_iou_TrafficLight,val_iou_Train,val_iou_Tree,val_iou_Truck_Bus,val_iou_Tunnel,val_iou_VegetationMisc,val_iou_Void,val_iou_Wall,is_best
1,426616.8980082418,2.0105610489845276,0.027307845091822897,0.0,0.0,0.0,0.0,0.08652024998577043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41977937736486676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36755141558769544,0.0,0.0,0.0,0.0,0.0,0
2,336501.5889423077,2.378199315071106,0.009516974900545556,0.0,0.0,0.0,0.0,0.014603192543163276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2899400042742945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
3,345116.9505494505,1.6586294531822205,0.03287326379383244,0.0,0.0,0.0,0.0,0.1723671636078858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.500302020796057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.379275256998695,0.0,0.0,0.0,0.0,0.0,0
4,321450.30803571426,2.6289191246032715,0.020212866188409305,0.0,0.0,0.0,0.0,0.05333013865307727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35924862468426355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23423295469175698,0.0,0.0,0.0,0.0,0.0,0
5,312322.55940934067,2.2547729134559633,0.023654454036974415,0.0,0.0,0.0,0.0,0.07145914785762122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42893617307442716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2565472082511329,0.0,0.0,0.0,0.0,0.0,0
6,443655.1198489011,1.8978493452072143,0.02320449138941478,0.0,0.0,0.0,0.0,0.09179511152801413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41931495497733773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2314336579559209,0.0,0.0,0.0,0.0,0.0,0
7,313362.65899725276,1.583793532848358,0.038980554614948225,0.0,0.0,0.0,0.0,0.2597236491603044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5811293112556196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40652478726241925,0.0,0.0,0.0,0.0,0.0,0
8,307249.928228022,1.548162055015564,0.038361805767579193,0.0,0.0,0.0,0.0,0.25926022150423594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5724016546803249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3959159083779734,0.0,0.0,0.0,0.0,0.0,0
9,302795.3542239011,1.5804792881011962,0.03873741822913537,0.0,0.0,0.0,0.0,0.2683086575761443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5657902120890231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40549851366716483,0.0,0.0,0.0,0.0,0.0,0
10,298867.61744505493,1.5164330720901489,0.040300962096793715,0.0,0.0,0.0,0.0,0.29048032217967845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.600791024857948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3983594400597722,0.0,0.0,0.0,0.0,0.0,0
11,296224.787603022,1.5192822217941284,0.042157013100299366,0.0,0.0,0.0,0.0,0.31781076785421514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625106095025572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40610755632979245,0.0,0.0,0.0,0.0,0.0,0
12,293254.399896978,1.5105618596076966,0.04229372702559925,0.0,0.0,0.0,0.0,0.32392876183722585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6302985704839489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3991719324980013,0.0,0.0,0.0,0.0,0.0,0
13,291552.67393543955,1.5179402589797975,0.036262330381681265,0.0,0.0,0.0,0.0,0.2300850767263663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5474928679239874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3828166275634469,0.0,0.0,0.0,0.0,0.0,0
14,290577.1134958791,1.4888691663742066,0.04116129619657287,0.0,0.0,0.0,0.0,0.305252949199837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6092628065413378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4026457225491569,0.0,0.0,0.0,0.0,0.0,0
15,288991.86383928574,1.5063795566558837,0.035983129947568186,0.0,0.0,0.0,0.0,0.2417786363940296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5491839857390849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3604975361890673,0.0,0.0,0.0,0.0,0.0,0
16,287422.6456043956,1.4769618153572082,0.040621282909090804,0.0,0.0,0.0,0.0,0.2933005895940973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5986221973669527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4079582661298559,0.0,0.0,0.0,0.0,0.0,0
17,286761.51356456045,1.472607159614563,0.040846956253229254,0.0,0.0,0.0,0.0,0.2998003068135775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6027262741826167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4045760191071418,0.0,0.0,0.0,0.0,0.0,0
18,285738.8444368132,1.4551024079322814,0.03995819961446247,0.0,0.0,0.0,0.0,0.29796397422685167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5963681373418014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38433027609414555,0.0,0.0,0.0,0.0,0.0,0
