cases,Road(0.27),Building(0.25),Tree(0.16),Sky(0.09),Sidewalk(0.09),Fence(0.03),Bicyclist(0.02),LaneMkgsDriv(0.02),Car(0.01),Wall(0.01),Void(0.01),OtherMoving(0.01),Pedestrian(0.01),TrafficLight(0.01),Column_Pole(0.01),Truck_Bus,Misc_Text,VegetationMisc,Child
cefilter_1.0_m90,0.9413,0.9542,0.9393,0.9461,0.8854,0.8757,0.8724,0.6814,0.5748,0.774,0.3285,0.5983,0.7208,0.8145,0.5088,0.6877,0.4176,0.1813,0.5562
cefilter_0.5_m90,0.948,0.954,0.9365,0.9463,0.9012,0.8714,0.8641,0.6835,0.5456,0.7793,0.3059,0.6184,0.7253,0.7922,0.5114,0.6713,0.457,0.0888,0.5307
cefilter_0.28_m90,0.9387,0.9572,0.9377,0.9464,0.8731,0.8761,0.8802,0.6857,0.5613,0.7729,0.3307,0.5894,0.7652,0.8253,0.5136,0.6654,0.4849,0.1734,0.499
cefilter_0.26_m90,0,0.9476,0.9366,0.9267,0.5252,0.8667,0.6668,0.1829,0.4442,0.1314,0.3352,0.6535,0.3242,0.1953,0.4783,0.6547,0.41,0.1585,0.5214
cefilter_0.17_m90,0,0,0.8911,0.8496,0.3051,0.6891,0.4691,0.1534,0.2307,0.1913,0.3046,0.5658,0.2402,0.1811,0.1504,0.5267,0.2012,0.1677,0.2125
cefilter_0.10_m90,0,0,0,0.7385,0.1881,0.5575,0.513,0.197,0.2161,0.3964,0.2557,0.6019,0.314,0.1124,0.0814,0.3918,0.0049,0.1463,0
cefilter_0.05_m90,0,0,0,0,0,0.5342,0.4357,0.169,0.2236,0.1912,0.1072,0.5745,0.1965,0.063,0.0093,0.2795,0.0766,0.1338,0.53
cefilter_0.03_m90,0,0,0,0,0.0002,0,0.3576,0.1689,0.1398,0.0884,0.09,0.4006,0.207,0.0706,0.0134,0.4011,0.0698,0.0601,0.3868
cefilter_0.02_m90,0,0,0,0,0.0387,0,0,0.1448,0.1697,0.2321,0.0857,0.3991,0.1742,0.0358,0.0761,0.1936,0.0811,0.0799,0.1886
cefilter_0.01_m90,0.0017,0,0.0043,0,0.0551,0,0.0002,0,0,0,0.0614,0.2109,0.0877,0.1024,0.0272,0.208,0.0717,0.0563,0.2518
cefilter_0_m90,0.2251,0.0016,0.006,0,0.1191,0.0019,0.0607,0.0009,0.0044,0,0,0.0013,0.0019,0.0046,0.0043,0.0069,0.003,0.0008,0.0001
